group,participant_id,file_path,num_rows,num_valid_time_rows,num_unique_timestamps,start_time,end_time,duration_seconds,estimated_sample_rate_hz,avg_rows_per_unique_timestamp,all_timestamps_integer,num_zero_diffs,num_negative_diffs,min_positive_row_diff,median_positive_row_diff,min_unique_timestamp_diff,median_unique_timestamp_diff,num_distinct_labels,observed_labels
Control,0001,/home/harshit/2024/video_data_processing_pipeline/assets/IMU_data/Control/left_0001_acc.csv,69318,69318,2167,1675269495.0,1675271661.0,2166.0,32.00277008310249,31.988001845869867,True,67151,0,1.0,1.0,1.0,1.0,10,"animal,arithmetic,bad,count,good,jelly,prepareSong,stress,stroop"
Control,0002,/home/harshit/2024/video_data_processing_pipeline/assets/IMU_data/Control/left_0002_acc.csv,66204,66204,2069,1675273057.0,1675275125.0,2068.0,32.013539651837526,31.99806669888835,True,64135,0,1.0,1.0,1.0,1.0,10,"animal,arithmetic,bad,count,good,jelly,prepareSong,stress,stroop"
Control,0003,/home/harshit/2024/video_data_processing_pipeline/assets/IMU_data/Control/left_0003_acc.csv,62292,62292,1947,1675285353.0,1675287299.0,1946.0,32.010277492291884,31.993836671802775,True,60345,0,1.0,1.0,1.0,1.0,10,"animal,arithmetic,bad,count,good,jelly,prepareSong,stress,stroop"
Control,0004,/home/harshit/2024/video_data_processing_pipeline/assets/IMU_data/Control/left_0004_acc.csv,75786,75786,2369,1675287667.0,1675290035.0,2368.0,32.004222972972975,31.990713381173492,True,73417,0,1.0,1.0,1.0,1.0,10,"animal,arithmetic,bad,count,good,jelly,prepareSong,stress,stroop"
Control,0005,/home/harshit/2024/video_data_processing_pipeline/assets/IMU_data/Control/left_0005_acc.csv,59412,59412,1857,1675358730.0,1675360586.0,1856.0,32.01077586206897,31.993537964458806,True,57555,0,1.0,1.0,1.0,1.0,10,"animal,arithmetic,bad,count,good,jelly,prepareSong,stress,stroop"
Control,0006,/home/harshit/2024/video_data_processing_pipeline/assets/IMU_data/Control/left_0006_acc.csv,63804,63804,1994,1675361773.0,1675363766.0,1993.0,32.01404917210236,31.997993981945836,True,61810,0,1.0,1.0,1.0,1.0,10,"animal,arithmetic,bad,count,good,jelly,prepareSong,stress,stroop"
Control,0007,/home/harshit/2024/video_data_processing_pipeline/assets/IMU_data/Control/left_0007_acc.csv,58692,58692,1835,1675695659.0,1675697493.0,1834.0,32.00218102508179,31.98474114441417,True,56857,0,1.0,1.0,1.0,1.0,10,"animal,arithmetic,bad,count,good,jelly,prepareSong,stress,stroop"
Control,0008,/home/harshit/2024/video_data_processing_pipeline/assets/IMU_data/Control/left_0008_acc.csv,61572,61572,1925,1675697952.0,1675699876.0,1924.0,32.002079002079,31.985454545454544,True,59647,0,1.0,1.0,1.0,1.0,9,"animal,arithmetic,count,good,jelly,prepareSong,stress,stroop"
Control,0009,/home/harshit/2024/video_data_processing_pipeline/assets/IMU_data/Control/left_0009_acc.csv,62610,62610,1957,1675704765.0,1675706721.0,1956.0,32.00920245398773,31.992846193152786,True,60653,0,1.0,1.0,1.0,1.0,10,"animal,arithmetic,bad,count,good,jelly,prepareSong,stress,stroop"
Control,0010,/home/harshit/2024/video_data_processing_pipeline/assets/IMU_data/Control/left_0010_acc.csv,66360,66360,2074,1675706867.0,1675708940.0,2073.0,32.01157742402315,31.996142719382835,True,64286,0,1.0,1.0,1.0,1.0,10,"animal,arithmetic,bad,count,good,jelly,prepareSong,stress,stroop"
