time,num_rows,first_label,last_label,unique_labels,delta_from_prev,is_integer_time
1675361773.0,32,None,None,1,,True
1675361774.0,32,None,None,1,1.0,True
1675361775.0,32,None,None,1,1.0,True
1675361776.0,32,None,None,1,1.0,True
1675361777.0,32,None,None,1,1.0,True
1675361778.0,32,None,None,1,1.0,True
1675361779.0,32,None,None,1,1.0,True
1675361780.0,32,None,None,1,1.0,True
1675361781.0,32,None,None,1,1.0,True
1675361782.0,32,None,None,1,1.0,True
1675361783.0,32,None,None,1,1.0,True
1675361784.0,32,None,None,1,1.0,True
1675361785.0,32,None,None,1,1.0,True
1675361786.0,32,None,None,1,1.0,True
1675361787.0,32,None,None,1,1.0,True
1675361788.0,32,None,None,1,1.0,True
1675361789.0,32,None,None,1,1.0,True
1675361790.0,32,None,None,1,1.0,True
1675361791.0,32,None,None,1,1.0,True
1675361792.0,32,None,None,1,1.0,True
1675361793.0,32,None,None,1,1.0,True
1675361794.0,32,None,None,1,1.0,True
1675361795.0,32,None,None,1,1.0,True
1675361796.0,32,None,None,1,1.0,True
1675361797.0,32,None,None,1,1.0,True
1675361798.0,32,None,None,1,1.0,True
1675361799.0,32,None,None,1,1.0,True
1675361800.0,32,None,None,1,1.0,True
1675361801.0,32,None,None,1,1.0,True
1675361802.0,32,None,None,1,1.0,True
1675361803.0,32,None,None,1,1.0,True
1675361804.0,32,None,None,1,1.0,True
1675361805.0,32,None,None,1,1.0,True
1675361806.0,32,None,None,1,1.0,True
1675361807.0,32,None,None,1,1.0,True
1675361808.0,32,None,None,1,1.0,True
1675361809.0,32,None,None,1,1.0,True
1675361810.0,32,None,None,1,1.0,True
1675361811.0,32,None,None,1,1.0,True
1675361812.0,32,None,None,1,1.0,True
1675361813.0,32,None,None,1,1.0,True
1675361814.0,32,None,None,1,1.0,True
1675361815.0,32,None,None,1,1.0,True
1675361816.0,32,None,None,1,1.0,True
1675361817.0,32,None,None,1,1.0,True
1675361818.0,32,None,None,1,1.0,True
1675361819.0,32,None,None,1,1.0,True
1675361820.0,32,None,None,1,1.0,True
1675361821.0,32,None,None,1,1.0,True
1675361822.0,32,None,None,1,1.0,True
1675361823.0,32,None,None,1,1.0,True
1675361824.0,32,None,None,1,1.0,True
1675361825.0,32,None,None,1,1.0,True
1675361826.0,32,None,None,1,1.0,True
1675361827.0,32,None,None,1,1.0,True
1675361828.0,32,None,None,1,1.0,True
1675361829.0,32,None,None,1,1.0,True
1675361830.0,32,None,None,1,1.0,True
1675361831.0,32,None,None,1,1.0,True
1675361832.0,32,None,None,1,1.0,True
1675361833.0,32,None,None,1,1.0,True
1675361834.0,32,None,None,1,1.0,True
1675361835.0,32,None,None,1,1.0,True
1675361836.0,32,None,None,1,1.0,True
1675361837.0,32,None,None,1,1.0,True
1675361838.0,32,None,None,1,1.0,True
1675361839.0,32,None,None,1,1.0,True
1675361840.0,32,None,None,1,1.0,True
1675361841.0,32,None,None,1,1.0,True
1675361842.0,32,None,None,1,1.0,True
1675361843.0,32,None,None,1,1.0,True
1675361844.0,32,None,None,1,1.0,True
1675361845.0,32,None,None,1,1.0,True
1675361846.0,32,None,None,1,1.0,True
1675361847.0,32,None,None,1,1.0,True
1675361848.0,32,None,None,1,1.0,True
1675361849.0,32,None,None,1,1.0,True
1675361850.0,32,None,None,1,1.0,True
1675361851.0,32,None,None,1,1.0,True
1675361852.0,32,None,None,1,1.0,True
1675361853.0,32,None,None,1,1.0,True
1675361854.0,32,None,None,1,1.0,True
1675361855.0,32,None,None,1,1.0,True
1675361856.0,32,None,None,1,1.0,True
1675361857.0,32,None,None,1,1.0,True
1675361858.0,32,None,None,1,1.0,True
1675361859.0,32,None,None,1,1.0,True
1675361860.0,32,None,None,1,1.0,True
1675361861.0,32,None,None,1,1.0,True
1675361862.0,32,None,None,1,1.0,True
1675361863.0,32,None,None,1,1.0,True
1675361864.0,32,None,None,1,1.0,True
1675361865.0,32,None,None,1,1.0,True
1675361866.0,32,None,None,1,1.0,True
1675361867.0,32,None,None,1,1.0,True
1675361868.0,32,None,None,1,1.0,True
1675361869.0,32,None,None,1,1.0,True
1675361870.0,32,None,None,1,1.0,True
1675361871.0,32,None,None,1,1.0,True
1675361872.0,32,None,None,1,1.0,True
1675361873.0,32,None,None,1,1.0,True
1675361874.0,32,None,None,1,1.0,True
1675361875.0,32,None,None,1,1.0,True
1675361876.0,32,None,None,1,1.0,True
1675361877.0,32,None,None,1,1.0,True
1675361878.0,32,None,None,1,1.0,True
1675361879.0,32,None,None,1,1.0,True
1675361880.0,32,None,None,1,1.0,True
1675361881.0,32,None,None,1,1.0,True
1675361882.0,32,None,None,1,1.0,True
1675361883.0,32,None,None,1,1.0,True
1675361884.0,32,None,None,1,1.0,True
1675361885.0,32,None,None,1,1.0,True
1675361886.0,32,None,None,1,1.0,True
