label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,18655,18656,1675784372.0,1675784954.0,583,582.0
jelly,18656,24479,5824,1675784955.0,1675785136.0,182,181.0
None,24480,24735,256,1675785137.0,1675785144.0,8,7.0
count,24736,26719,1984,1675785145.0,1675785206.0,62,61.0
None,26720,27423,704,1675785207.0,1675785228.0,22,21.0
good,27424,30591,3168,1675785229.0,1675785327.0,99,98.0
None,30592,31039,448,1675785328.0,1675785341.0,14,13.0
animal,31040,36863,5824,1675785342.0,1675785523.0,182,181.0
None,36864,37663,800,1675785524.0,1675785548.0,25,24.0
prepareSong,37664,38271,608,1675785549.0,1675785567.0,19,18.0
None,38272,39903,1632,1675785568.0,1675785618.0,51,50.0
stroop,39904,44607,4704,1675785619.0,1675785765.0,147,146.0
None,44608,47423,2816,1675785766.0,1675785853.0,88,87.0
arithmetic,47424,51007,3584,1675785854.0,1675785965.0,112,111.0
None,51008,51103,96,1675785966.0,1675785968.0,3,2.0
stress,51104,62207,11104,1675785969.0,1675786315.0,347,346.0
None,62208,62623,416,1675786316.0,1675786328.0,13,12.0
bad,62624,66527,3904,1675786329.0,1675786450.0,122,121.0
None,66528,67565,1038,1675786451.0,1675786483.0,33,32.0
