label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,1951,1952,1657562205.0,1657562265.0,61,60.0
jelly,1952,7743,5792,1657562266.0,1657562446.0,181,180.0
None,7744,7967,224,1657562447.0,1657562453.0,7,6.0
count,7968,9919,1952,1657562454.0,1657562514.0,61,60.0
None,9920,10143,224,1657562515.0,1657562521.0,7,6.0
good,10144,13695,3552,1657562522.0,1657562632.0,111,110.0
None,13696,14271,576,1657562633.0,1657562650.0,18,17.0
animal,14272,20063,5792,1657562651.0,1657562831.0,181,180.0
None,20064,20191,128,1657562832.0,1657562835.0,4,3.0
stress,20192,33855,13664,1657562836.0,1657563262.0,427,426.0
None,33856,34111,256,1657563263.0,1657563270.0,8,7.0
prepareSong,34112,35103,992,1657563271.0,1657563301.0,31,30.0
None,35104,36063,960,1657563302.0,1657563331.0,30,29.0
arithmetic,36064,42015,5952,1657563332.0,1657563517.0,186,185.0
None,42016,42303,288,1657563518.0,1657563526.0,9,8.0
bad,42304,46335,4032,1657563527.0,1657563652.0,126,125.0
None,46336,46637,302,1657563653.0,1657563662.0,10,9.0
