label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,4895,4896,1657558928.0,1657559080.0,153,152.0
jelly,4896,10687,5792,1657559081.0,1657559261.0,181,180.0
None,10688,10943,256,1657559262.0,1657559269.0,8,7.0
count,10944,12895,1952,1657559270.0,1657559330.0,61,60.0
None,12896,13119,224,1657559331.0,1657559337.0,7,6.0
good,13120,16991,3872,1657559338.0,1657559458.0,121,120.0
None,16992,17247,256,1657559459.0,1657559466.0,8,7.0
animal,17248,23039,5792,1657559467.0,1657559647.0,181,180.0
None,23040,23135,96,1657559648.0,1657559650.0,3,2.0
stress,23136,36863,13728,1657559651.0,1657560079.0,429,428.0
None,36864,37023,160,1657560080.0,1657560084.0,5,4.0
prepareSong,37024,38015,992,1657560085.0,1657560115.0,31,30.0
None,38016,38943,928,1657560116.0,1657560144.0,29,28.0
arithmetic,38944,45055,6112,1657560145.0,1657560335.0,191,190.0
None,45056,45439,384,1657560336.0,1657560347.0,12,11.0
bad,45440,48895,3456,1657560348.0,1657560455.0,108,107.0
None,48896,49667,772,1657560456.0,1657560480.0,25,24.0
