label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,7647,7648,1643922113.0,1643922351.0,239,238.0
jelly,7648,13471,5824,1643922352.0,1643922533.0,182,181.0
None,13472,13727,256,1643922534.0,1643922541.0,8,7.0
count,13728,15711,1984,1643922542.0,1643922603.0,62,61.0
None,15712,16095,384,1643922604.0,1643922615.0,12,11.0
good,16096,16159,64,1643922616.0,1643922617.0,2,1.0
None,16160,19615,3456,1643922618.0,1643922725.0,108,107.0
animal,19616,20191,576,1643922726.0,1643922743.0,18,17.0
None,20192,26015,5824,1643922744.0,1643922925.0,182,181.0
stress,26016,39519,13504,1643922926.0,1643923347.0,422,421.0
None,39520,39903,384,1643923348.0,1643923359.0,12,11.0
prepareSong,39904,40927,1024,1643923360.0,1643923391.0,32,31.0
None,40928,42015,1088,1643923392.0,1643923425.0,34,33.0
arithmetic,42016,47999,5984,1643923426.0,1643923612.0,187,186.0
None,48000,48351,352,1643923613.0,1643923623.0,11,10.0
bad,48352,52255,3904,1643923624.0,1643923745.0,122,121.0
None,52256,52853,598,1643923746.0,1643923764.0,19,18.0
