label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,4575,4576,1644860606.0,1644860748.0,143,142.0
jelly,4576,8159,3584,1644860749.0,1644860860.0,112,111.0
None,8160,8351,192,1644860861.0,1644860866.0,6,5.0
count,8352,10335,1984,1644860867.0,1644860928.0,62,61.0
None,10336,10527,192,1644860929.0,1644860934.0,6,5.0
good,10528,14271,3744,1644860935.0,1644861051.0,117,116.0
None,14272,14623,352,1644861052.0,1644861062.0,11,10.0
animal,14624,20447,5824,1644861063.0,1644861244.0,182,181.0
None,20448,20543,96,1644861245.0,1644861247.0,3,2.0
stress,20544,34335,13792,1644861248.0,1644861678.0,431,430.0
None,34336,36095,1760,1644861679.0,1644861733.0,55,54.0
prepareSong,36096,37119,1024,1644861734.0,1644861765.0,32,31.0
None,37120,38079,960,1644861766.0,1644861795.0,30,29.0
arithmetic,38080,43999,5920,1644861796.0,1644861980.0,185,184.0
None,44000,44255,256,1644861981.0,1644861988.0,8,7.0
bad,44256,47999,3744,1644861989.0,1644862105.0,117,116.0
None,48000,48473,474,1644862106.0,1644862120.0,15,14.0
