label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,6591,6592,1644250361.0,1644250566.0,206,205.0
jelly,6592,12415,5824,1644250567.0,1644250748.0,182,181.0
None,12416,12575,160,1644250749.0,1644250753.0,5,4.0
count,12576,14559,1984,1644250754.0,1644250815.0,62,61.0
None,14560,14783,224,1644250816.0,1644250822.0,7,6.0
good,14784,18687,3904,1644250823.0,1644250944.0,122,121.0
None,18688,18911,224,1644250945.0,1644250951.0,7,6.0
animal,18912,24735,5824,1644250952.0,1644251133.0,182,181.0
None,24736,24799,64,1644251134.0,1644251135.0,2,1.0
stress,24800,28415,3616,1644251136.0,1644251248.0,113,112.0
