time,num_rows,first_label,last_label,unique_labels,delta_from_prev,is_integer_time
1644250361.0,32,None,None,1,,True
1644250362.0,32,None,None,1,1.0,True
1644250363.0,32,None,None,1,1.0,True
1644250364.0,32,None,None,1,1.0,True
1644250365.0,32,None,None,1,1.0,True
1644250366.0,32,None,None,1,1.0,True
1644250367.0,32,None,None,1,1.0,True
1644250368.0,32,None,None,1,1.0,True
1644250369.0,32,None,None,1,1.0,True
1644250370.0,32,None,None,1,1.0,True
1644250371.0,32,None,None,1,1.0,True
1644250372.0,32,None,None,1,1.0,True
1644250373.0,32,None,None,1,1.0,True
1644250374.0,32,None,None,1,1.0,True
1644250375.0,32,None,None,1,1.0,True
1644250376.0,32,None,None,1,1.0,True
1644250377.0,32,None,None,1,1.0,True
1644250378.0,32,None,None,1,1.0,True
1644250379.0,32,None,None,1,1.0,True
1644250380.0,32,None,None,1,1.0,True
1644250381.0,32,None,None,1,1.0,True
1644250382.0,32,None,None,1,1.0,True
1644250383.0,32,None,None,1,1.0,True
1644250384.0,32,None,None,1,1.0,True
1644250385.0,32,None,None,1,1.0,True
1644250386.0,32,None,None,1,1.0,True
1644250387.0,32,None,None,1,1.0,True
1644250388.0,32,None,None,1,1.0,True
1644250389.0,32,None,None,1,1.0,True
1644250390.0,32,None,None,1,1.0,True
1644250391.0,32,None,None,1,1.0,True
1644250392.0,32,None,None,1,1.0,True
1644250393.0,32,None,None,1,1.0,True
1644250394.0,32,None,None,1,1.0,True
1644250395.0,32,None,None,1,1.0,True
1644250396.0,32,None,None,1,1.0,True
1644250397.0,32,None,None,1,1.0,True
1644250398.0,32,None,None,1,1.0,True
1644250399.0,32,None,None,1,1.0,True
1644250400.0,32,None,None,1,1.0,True
1644250401.0,32,None,None,1,1.0,True
1644250402.0,32,None,None,1,1.0,True
1644250403.0,32,None,None,1,1.0,True
1644250404.0,32,None,None,1,1.0,True
1644250405.0,32,None,None,1,1.0,True
1644250406.0,32,None,None,1,1.0,True
1644250407.0,32,None,None,1,1.0,True
1644250408.0,32,None,None,1,1.0,True
1644250409.0,32,None,None,1,1.0,True
1644250410.0,32,None,None,1,1.0,True
1644250411.0,32,None,None,1,1.0,True
1644250412.0,32,None,None,1,1.0,True
1644250413.0,32,None,None,1,1.0,True
1644250414.0,32,None,None,1,1.0,True
1644250415.0,32,None,None,1,1.0,True
1644250416.0,32,None,None,1,1.0,True
1644250417.0,32,None,None,1,1.0,True
1644250418.0,32,None,None,1,1.0,True
1644250419.0,32,None,None,1,1.0,True
1644250420.0,32,None,None,1,1.0,True
1644250421.0,32,None,None,1,1.0,True
1644250422.0,32,None,None,1,1.0,True
1644250423.0,32,None,None,1,1.0,True
1644250424.0,32,None,None,1,1.0,True
1644250425.0,32,None,None,1,1.0,True
1644250426.0,32,None,None,1,1.0,True
1644250427.0,32,None,None,1,1.0,True
1644250428.0,32,None,None,1,1.0,True
1644250429.0,32,None,None,1,1.0,True
1644250430.0,32,None,None,1,1.0,True
1644250431.0,32,None,None,1,1.0,True
1644250432.0,32,None,None,1,1.0,True
1644250433.0,32,None,None,1,1.0,True
1644250434.0,32,None,None,1,1.0,True
1644250435.0,32,None,None,1,1.0,True
1644250436.0,32,None,None,1,1.0,True
1644250437.0,32,None,None,1,1.0,True
1644250438.0,32,None,None,1,1.0,True
1644250439.0,32,None,None,1,1.0,True
1644250440.0,32,None,None,1,1.0,True
1644250441.0,32,None,None,1,1.0,True
1644250442.0,32,None,None,1,1.0,True
1644250443.0,32,None,None,1,1.0,True
1644250444.0,32,None,None,1,1.0,True
1644250445.0,32,None,None,1,1.0,True
1644250446.0,32,None,None,1,1.0,True
1644250447.0,32,None,None,1,1.0,True
1644250448.0,32,None,None,1,1.0,True
1644250449.0,32,None,None,1,1.0,True
1644250450.0,32,None,None,1,1.0,True
1644250451.0,32,None,None,1,1.0,True
1644250452.0,32,None,None,1,1.0,True
1644250453.0,32,None,None,1,1.0,True
1644250454.0,32,None,None,1,1.0,True
1644250455.0,32,None,None,1,1.0,True
1644250456.0,32,None,None,1,1.0,True
1644250457.0,32,None,None,1,1.0,True
1644250458.0,32,None,None,1,1.0,True
1644250459.0,32,None,None,1,1.0,True
1644250460.0,32,None,None,1,1.0,True
1644250461.0,32,None,None,1,1.0,True
1644250462.0,32,None,None,1,1.0,True
