label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,4383,4384,1658430064.0,1658430200.0,137,136.0
jelly,4384,7295,2912,1658430201.0,1658430291.0,91,90.0
None,7296,7583,288,1658430292.0,1658430300.0,9,8.0
count,7584,9535,1952,1658430301.0,1658430361.0,61,60.0
None,9536,9983,448,1658430362.0,1658430375.0,14,13.0
good,9984,13535,3552,1658430376.0,1658430486.0,111,110.0
None,13536,13855,320,1658430487.0,1658430496.0,10,9.0
animal,13856,19647,5792,1658430497.0,1658430677.0,181,180.0
None,19648,19743,96,1658430678.0,1658430680.0,3,2.0
stress,19744,33471,13728,1658430681.0,1658431109.0,429,428.0
None,33472,33663,192,1658431110.0,1658431115.0,6,5.0
prepareSong,33664,34655,992,1658431116.0,1658431146.0,31,30.0
None,34656,36191,1536,1658431147.0,1658431194.0,48,47.0
arithmetic,36192,41695,5504,1658431195.0,1658431366.0,172,171.0
None,41696,41823,128,1658431367.0,1658431370.0,4,3.0
bad,41824,45215,3392,1658431371.0,1658431476.0,106,105.0
None,45216,45917,702,1658431477.0,1658431498.0,22,21.0
