label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,351,352,1646859188.0,1646859198.0,11,10.0
jelly,352,6175,5824,1646859199.0,1646859380.0,182,181.0
None,6176,6367,192,1646859381.0,1646859386.0,6,5.0
count,6368,8351,1984,1646859387.0,1646859448.0,62,61.0
None,8352,8511,160,1646859449.0,1646859453.0,5,4.0
good,8512,12095,3584,1646859454.0,1646859565.0,112,111.0
None,12096,12639,544,1646859566.0,1646859582.0,17,16.0
animal,12640,18463,5824,1646859583.0,1646859764.0,182,181.0
None,18464,18591,128,1646859765.0,1646859768.0,4,3.0
stress,18592,26335,7744,1646859769.0,1646860010.0,242,241.0
None,26336,33791,7456,1646860011.0,1646860243.0,233,232.0
prepareSong,33792,34815,1024,1646860244.0,1646860275.0,32,31.0
None,34816,35231,416,1646860276.0,1646860288.0,13,12.0
arithmetic,35232,40543,5312,1646860289.0,1646860454.0,166,165.0
None,40544,40671,128,1646860455.0,1646860458.0,4,3.0
bad,40672,44575,3904,1646860459.0,1646860580.0,122,121.0
None,44576,44957,382,1646860581.0,1646860592.0,12,11.0
