label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,4351,4352,1645643490.0,1645643625.0,136,135.0
jelly,4352,9983,5632,1645643626.0,1645643801.0,176,175.0
None,9984,10239,256,1645643802.0,1645643809.0,8,7.0
count,10240,12223,1984,1645643810.0,1645643871.0,62,61.0
None,12224,12415,192,1645643872.0,1645643877.0,6,5.0
good,12416,16159,3744,1645643878.0,1645643994.0,117,116.0
None,16160,16479,320,1645643995.0,1645644004.0,10,9.0
animal,16480,22303,5824,1645644005.0,1645644186.0,182,181.0
None,22304,22399,96,1645644187.0,1645644189.0,3,2.0
stress,22400,36159,13760,1645644190.0,1645644619.0,430,429.0
None,36160,36415,256,1645644620.0,1645644627.0,8,7.0
prepareSong,36416,37343,928,1645644628.0,1645644656.0,29,28.0
None,37344,38175,832,1645644657.0,1645644682.0,26,25.0
arithmetic,38176,44319,6144,1645644683.0,1645644874.0,192,191.0
None,44320,44415,96,1645644875.0,1645644877.0,3,2.0
bad,44416,48319,3904,1645644878.0,1645644999.0,122,121.0
None,48320,49031,712,1645645000.0,1645645022.0,23,22.0
