time,num_rows,first_label,last_label,unique_labels,delta_from_prev,is_integer_time
1645643490.0,32,None,None,1,,True
1645643491.0,32,None,None,1,1.0,True
1645643492.0,32,None,None,1,1.0,True
1645643493.0,32,None,None,1,1.0,True
1645643494.0,32,None,None,1,1.0,True
1645643495.0,32,None,None,1,1.0,True
1645643496.0,32,None,None,1,1.0,True
1645643497.0,32,None,None,1,1.0,True
1645643498.0,32,None,None,1,1.0,True
1645643499.0,32,None,None,1,1.0,True
1645643500.0,32,None,None,1,1.0,True
1645643501.0,32,None,None,1,1.0,True
1645643502.0,32,None,None,1,1.0,True
1645643503.0,32,None,None,1,1.0,True
1645643504.0,32,None,None,1,1.0,True
1645643505.0,32,None,None,1,1.0,True
1645643506.0,32,None,None,1,1.0,True
1645643507.0,32,None,None,1,1.0,True
1645643508.0,32,None,None,1,1.0,True
1645643509.0,32,None,None,1,1.0,True
1645643510.0,32,None,None,1,1.0,True
1645643511.0,32,None,None,1,1.0,True
1645643512.0,32,None,None,1,1.0,True
1645643513.0,32,None,None,1,1.0,True
1645643514.0,32,None,None,1,1.0,True
1645643515.0,32,None,None,1,1.0,True
1645643516.0,32,None,None,1,1.0,True
1645643517.0,32,None,None,1,1.0,True
1645643518.0,32,None,None,1,1.0,True
1645643519.0,32,None,None,1,1.0,True
1645643520.0,32,None,None,1,1.0,True
1645643521.0,32,None,None,1,1.0,True
1645643522.0,32,None,None,1,1.0,True
1645643523.0,32,None,None,1,1.0,True
1645643524.0,32,None,None,1,1.0,True
1645643525.0,32,None,None,1,1.0,True
1645643526.0,32,None,None,1,1.0,True
1645643527.0,32,None,None,1,1.0,True
1645643528.0,32,None,None,1,1.0,True
1645643529.0,32,None,None,1,1.0,True
1645643530.0,32,None,None,1,1.0,True
1645643531.0,32,None,None,1,1.0,True
1645643532.0,32,None,None,1,1.0,True
1645643533.0,32,None,None,1,1.0,True
1645643534.0,32,None,None,1,1.0,True
1645643535.0,32,None,None,1,1.0,True
1645643536.0,32,None,None,1,1.0,True
1645643537.0,32,None,None,1,1.0,True
1645643538.0,32,None,None,1,1.0,True
1645643539.0,32,None,None,1,1.0,True
1645643540.0,32,None,None,1,1.0,True
1645643541.0,32,None,None,1,1.0,True
1645643542.0,32,None,None,1,1.0,True
1645643543.0,32,None,None,1,1.0,True
1645643544.0,32,None,None,1,1.0,True
1645643545.0,32,None,None,1,1.0,True
1645643546.0,32,None,None,1,1.0,True
1645643547.0,32,None,None,1,1.0,True
1645643548.0,32,None,None,1,1.0,True
1645643549.0,32,None,None,1,1.0,True
1645643550.0,32,None,None,1,1.0,True
1645643551.0,32,None,None,1,1.0,True
1645643552.0,32,None,None,1,1.0,True
1645643553.0,32,None,None,1,1.0,True
1645643554.0,32,None,None,1,1.0,True
1645643555.0,32,None,None,1,1.0,True
1645643556.0,32,None,None,1,1.0,True
1645643557.0,32,None,None,1,1.0,True
1645643558.0,32,None,None,1,1.0,True
1645643559.0,32,None,None,1,1.0,True
1645643560.0,32,None,None,1,1.0,True
1645643561.0,32,None,None,1,1.0,True
1645643562.0,32,None,None,1,1.0,True
1645643563.0,32,None,None,1,1.0,True
1645643564.0,32,None,None,1,1.0,True
1645643565.0,32,None,None,1,1.0,True
1645643566.0,32,None,None,1,1.0,True
1645643567.0,32,None,None,1,1.0,True
1645643568.0,32,None,None,1,1.0,True
1645643569.0,32,None,None,1,1.0,True
1645643570.0,32,None,None,1,1.0,True
1645643571.0,32,None,None,1,1.0,True
1645643572.0,32,None,None,1,1.0,True
1645643573.0,32,None,None,1,1.0,True
1645643574.0,32,None,None,1,1.0,True
1645643575.0,32,None,None,1,1.0,True
1645643576.0,32,None,None,1,1.0,True
1645643577.0,32,None,None,1,1.0,True
1645643578.0,32,None,None,1,1.0,True
1645643579.0,32,None,None,1,1.0,True
1645643580.0,32,None,None,1,1.0,True
1645643581.0,32,None,None,1,1.0,True
1645643582.0,32,None,None,1,1.0,True
1645643583.0,32,None,None,1,1.0,True
1645643584.0,32,None,None,1,1.0,True
1645643585.0,32,None,None,1,1.0,True
1645643586.0,32,None,None,1,1.0,True
1645643587.0,32,None,None,1,1.0,True
1645643588.0,32,None,None,1,1.0,True
1645643589.0,32,None,None,1,1.0,True
1645643590.0,32,None,None,1,1.0,True
