label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,9823,9824,1643919606.0,1643919912.0,307,306.0
jelly,9824,15647,5824,1643919913.0,1643920094.0,182,181.0
None,15648,15935,288,1643920095.0,1643920103.0,9,8.0
count,15936,17919,1984,1643920104.0,1643920165.0,62,61.0
None,17920,18047,128,1643920166.0,1643920169.0,4,3.0
good,18048,21791,3744,1643920170.0,1643920286.0,117,116.0
None,21792,22335,544,1643920287.0,1643920303.0,17,16.0
animal,22336,28159,5824,1643920304.0,1643920485.0,182,181.0
None,28160,28255,96,1643920486.0,1643920488.0,3,2.0
stress,28256,41759,13504,1643920489.0,1643920910.0,422,421.0
prepareSong,41760,43103,1344,1643920911.0,1643920952.0,42,41.0
None,43104,44255,1152,1643920953.0,1643920988.0,36,35.0
arithmetic,44256,46879,2624,1643920989.0,1643921070.0,82,81.0
None,46880,47359,480,1643921071.0,1643921085.0,15,14.0
bad,47360,51583,4224,1643921086.0,1643921217.0,132,131.0
None,51584,52103,520,1643921218.0,1643921234.0,17,16.0
