label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,3839,3840,1658432517.0,1658432636.0,120,119.0
jelly,3840,9631,5792,1658432637.0,1658432817.0,181,180.0
None,9632,9951,320,1658432818.0,1658432827.0,10,9.0
count,9952,11775,1824,1658432828.0,1658432884.0,57,56.0
None,11776,12511,736,1658432885.0,1658432907.0,23,22.0
good,12512,15743,3232,1658432908.0,1658433008.0,101,100.0
None,15744,16159,416,1658433009.0,1658433021.0,13,12.0
animal,16160,21951,5792,1658433022.0,1658433202.0,181,180.0
None,21952,22079,128,1658433203.0,1658433206.0,4,3.0
stress,22080,35807,13728,1658433207.0,1658433635.0,429,428.0
None,35808,35967,160,1658433636.0,1658433640.0,5,4.0
prepareSong,35968,36959,992,1658433641.0,1658433671.0,31,30.0
None,36960,38591,1632,1658433672.0,1658433722.0,51,50.0
arithmetic,38592,43903,5312,1658433723.0,1658433888.0,166,165.0
None,43904,44351,448,1658433889.0,1658433902.0,14,13.0
bad,44352,48063,3712,1658433903.0,1658434018.0,116,115.0
None,48064,48947,884,1658434019.0,1658434046.0,28,27.0
