label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,32127,32128,1657551448.0,1657552451.0,1004,1003.0
jelly,32128,37919,5792,1657552452.0,1657552632.0,181,180.0
None,37920,39039,1120,1657552633.0,1657552667.0,35,34.0
count,39040,40991,1952,1657552668.0,1657552728.0,61,60.0
good,40992,43903,2912,1657552729.0,1657552819.0,91,90.0
None,43904,44415,512,1657552820.0,1657552835.0,16,15.0
animal,44416,50207,5792,1657552836.0,1657553016.0,181,180.0
None,50208,50335,128,1657553017.0,1657553020.0,4,3.0
stress,50336,64063,13728,1657553021.0,1657553449.0,429,428.0
None,64064,64255,192,1657553450.0,1657553455.0,6,5.0
prepareSong,64256,65247,992,1657553456.0,1657553486.0,31,30.0
None,65248,66271,1024,1657553487.0,1657553518.0,32,31.0
arithmetic,66272,72223,5952,1657553519.0,1657553704.0,186,185.0
None,72224,72351,128,1657553705.0,1657553708.0,4,3.0
bad,72352,76063,3712,1657553709.0,1657553824.0,116,115.0
None,76064,76907,844,1657553825.0,1657553851.0,27,26.0
