time,num_rows,first_label,last_label,unique_labels,delta_from_prev,is_integer_time
1657551448.0,32,None,None,1,,True
1657551449.0,32,None,None,1,1.0,True
1657551450.0,32,None,None,1,1.0,True
1657551451.0,32,None,None,1,1.0,True
1657551452.0,32,None,None,1,1.0,True
1657551453.0,32,None,None,1,1.0,True
1657551454.0,32,None,None,1,1.0,True
1657551455.0,32,None,None,1,1.0,True
1657551456.0,32,None,None,1,1.0,True
1657551457.0,32,None,None,1,1.0,True
1657551458.0,32,None,None,1,1.0,True
1657551459.0,32,None,None,1,1.0,True
1657551460.0,32,None,None,1,1.0,True
1657551461.0,32,None,None,1,1.0,True
1657551462.0,32,None,None,1,1.0,True
1657551463.0,32,None,None,1,1.0,True
1657551464.0,32,None,None,1,1.0,True
1657551465.0,32,None,None,1,1.0,True
1657551466.0,32,None,None,1,1.0,True
1657551467.0,32,None,None,1,1.0,True
1657551468.0,32,None,None,1,1.0,True
1657551469.0,32,None,None,1,1.0,True
1657551470.0,32,None,None,1,1.0,True
1657551471.0,32,None,None,1,1.0,True
1657551472.0,32,None,None,1,1.0,True
1657551473.0,32,None,None,1,1.0,True
1657551474.0,32,None,None,1,1.0,True
1657551475.0,32,None,None,1,1.0,True
1657551476.0,32,None,None,1,1.0,True
1657551477.0,32,None,None,1,1.0,True
1657551478.0,32,None,None,1,1.0,True
1657551479.0,32,None,None,1,1.0,True
1657551480.0,32,None,None,1,1.0,True
1657551481.0,32,None,None,1,1.0,True
1657551482.0,32,None,None,1,1.0,True
1657551483.0,32,None,None,1,1.0,True
1657551484.0,32,None,None,1,1.0,True
1657551485.0,32,None,None,1,1.0,True
1657551486.0,32,None,None,1,1.0,True
1657551487.0,32,None,None,1,1.0,True
1657551488.0,32,None,None,1,1.0,True
1657551489.0,32,None,None,1,1.0,True
1657551490.0,32,None,None,1,1.0,True
1657551491.0,32,None,None,1,1.0,True
1657551492.0,32,None,None,1,1.0,True
1657551493.0,32,None,None,1,1.0,True
1657551494.0,32,None,None,1,1.0,True
1657551495.0,32,None,None,1,1.0,True
1657551496.0,32,None,None,1,1.0,True
1657551497.0,32,None,None,1,1.0,True
1657551498.0,32,None,None,1,1.0,True
1657551499.0,32,None,None,1,1.0,True
1657551500.0,32,None,None,1,1.0,True
1657551501.0,32,None,None,1,1.0,True
1657551502.0,32,None,None,1,1.0,True
1657551503.0,32,None,None,1,1.0,True
1657551504.0,32,None,None,1,1.0,True
1657551505.0,32,None,None,1,1.0,True
1657551506.0,32,None,None,1,1.0,True
1657551507.0,32,None,None,1,1.0,True
1657551508.0,32,None,None,1,1.0,True
1657551509.0,32,None,None,1,1.0,True
1657551510.0,32,None,None,1,1.0,True
1657551511.0,32,None,None,1,1.0,True
1657551512.0,32,None,None,1,1.0,True
1657551513.0,32,None,None,1,1.0,True
1657551514.0,32,None,None,1,1.0,True
1657551515.0,32,None,None,1,1.0,True
1657551516.0,32,None,None,1,1.0,True
1657551517.0,32,None,None,1,1.0,True
1657551518.0,32,None,None,1,1.0,True
1657551519.0,32,None,None,1,1.0,True
1657551520.0,32,None,None,1,1.0,True
1657551521.0,32,None,None,1,1.0,True
1657551522.0,32,None,None,1,1.0,True
1657551523.0,32,None,None,1,1.0,True
1657551524.0,32,None,None,1,1.0,True
1657551525.0,32,None,None,1,1.0,True
1657551526.0,32,None,None,1,1.0,True
1657551527.0,32,None,None,1,1.0,True
1657551528.0,32,None,None,1,1.0,True
1657551529.0,32,None,None,1,1.0,True
1657551530.0,32,None,None,1,1.0,True
1657551531.0,32,None,None,1,1.0,True
1657551532.0,32,None,None,1,1.0,True
1657551533.0,32,None,None,1,1.0,True
1657551534.0,32,None,None,1,1.0,True
1657551535.0,32,None,None,1,1.0,True
1657551536.0,32,None,None,1,1.0,True
1657551537.0,32,None,None,1,1.0,True
1657551538.0,32,None,None,1,1.0,True
1657551539.0,32,None,None,1,1.0,True
1657551540.0,32,None,None,1,1.0,True
1657551541.0,32,None,None,1,1.0,True
1657551542.0,32,None,None,1,1.0,True
1657551543.0,32,None,None,1,1.0,True
1657551544.0,32,None,None,1,1.0,True
1657551545.0,32,None,None,1,1.0,True
1657551546.0,32,None,None,1,1.0,True
1657551547.0,32,None,None,1,1.0,True
1657551548.0,32,None,None,1,1.0,True
1657551549.0,32,None,None,1,1.0,True
1657551550.0,32,None,None,1,1.0,True
1657551551.0,32,None,None,1,1.0,True
1657551552.0,32,None,None,1,1.0,True
1657551553.0,32,None,None,1,1.0,True
1657551554.0,32,None,None,1,1.0,True
1657551555.0,32,None,None,1,1.0,True
1657551556.0,32,None,None,1,1.0,True
1657551557.0,32,None,None,1,1.0,True
1657551558.0,32,None,None,1,1.0,True
1657551559.0,32,None,None,1,1.0,True
1657551560.0,32,None,None,1,1.0,True
1657551561.0,32,None,None,1,1.0,True
1657551562.0,32,None,None,1,1.0,True
1657551563.0,32,None,None,1,1.0,True
1657551564.0,32,None,None,1,1.0,True
1657551565.0,32,None,None,1,1.0,True
1657551566.0,32,None,None,1,1.0,True
1657551567.0,32,None,None,1,1.0,True
1657551568.0,32,None,None,1,1.0,True
1657551569.0,32,None,None,1,1.0,True
1657551570.0,32,None,None,1,1.0,True
1657551571.0,32,None,None,1,1.0,True
1657551572.0,32,None,None,1,1.0,True
1657551573.0,32,None,None,1,1.0,True
1657551574.0,32,None,None,1,1.0,True
1657551575.0,32,None,None,1,1.0,True
1657551576.0,32,None,None,1,1.0,True
1657551577.0,32,None,None,1,1.0,True
1657551578.0,32,None,None,1,1.0,True
1657551579.0,32,None,None,1,1.0,True
1657551580.0,32,None,None,1,1.0,True
1657551581.0,32,None,None,1,1.0,True
1657551582.0,32,None,None,1,1.0,True
1657551583.0,32,None,None,1,1.0,True
1657551584.0,32,None,None,1,1.0,True
1657551585.0,32,None,None,1,1.0,True
1657551586.0,32,None,None,1,1.0,True
1657551587.0,32,None,None,1,1.0,True
1657551588.0,32,None,None,1,1.0,True
1657551589.0,32,None,None,1,1.0,True
1657551590.0,32,None,None,1,1.0,True
1657551591.0,32,None,None,1,1.0,True
1657551592.0,32,None,None,1,1.0,True
1657551593.0,32,None,None,1,1.0,True
1657551594.0,32,None,None,1,1.0,True
1657551595.0,32,None,None,1,1.0,True
1657551596.0,32,None,None,1,1.0,True
1657551597.0,32,None,None,1,1.0,True
1657551598.0,32,None,None,1,1.0,True
1657551599.0,32,None,None,1,1.0,True
1657551600.0,32,None,None,1,1.0,True
1657551601.0,32,None,None,1,1.0,True
1657551602.0,32,None,None,1,1.0,True
1657551603.0,32,None,None,1,1.0,True
1657551604.0,32,None,None,1,1.0,True
1657551605.0,32,None,None,1,1.0,True
1657551606.0,32,None,None,1,1.0,True
1657551607.0,32,None,None,1,1.0,True
1657551608.0,32,None,None,1,1.0,True
1657551609.0,32,None,None,1,1.0,True
1657551610.0,32,None,None,1,1.0,True
1657551611.0,32,None,None,1,1.0,True
1657551612.0,32,None,None,1,1.0,True
1657551613.0,32,None,None,1,1.0,True
1657551614.0,32,None,None,1,1.0,True
1657551615.0,32,None,None,1,1.0,True
1657551616.0,32,None,None,1,1.0,True
1657551617.0,32,None,None,1,1.0,True
1657551618.0,32,None,None,1,1.0,True
1657551619.0,32,None,None,1,1.0,True
1657551620.0,32,None,None,1,1.0,True
1657551621.0,32,None,None,1,1.0,True
1657551622.0,32,None,None,1,1.0,True
1657551623.0,32,None,None,1,1.0,True
1657551624.0,32,None,None,1,1.0,True
1657551625.0,32,None,None,1,1.0,True
1657551626.0,32,None,None,1,1.0,True
1657551627.0,32,None,None,1,1.0,True
1657551628.0,32,None,None,1,1.0,True
1657551629.0,32,None,None,1,1.0,True
1657551630.0,32,None,None,1,1.0,True
1657551631.0,32,None,None,1,1.0,True
1657551632.0,32,None,None,1,1.0,True
1657551633.0,32,None,None,1,1.0,True
1657551634.0,32,None,None,1,1.0,True
1657551635.0,32,None,None,1,1.0,True
1657551636.0,32,None,None,1,1.0,True
1657551637.0,32,None,None,1,1.0,True
1657551638.0,32,None,None,1,1.0,True
1657551639.0,32,None,None,1,1.0,True
1657551640.0,32,None,None,1,1.0,True
1657551641.0,32,None,None,1,1.0,True
1657551642.0,32,None,None,1,1.0,True
1657551643.0,32,None,None,1,1.0,True
1657551644.0,32,None,None,1,1.0,True
1657551645.0,32,None,None,1,1.0,True
1657551646.0,32,None,None,1,1.0,True
1657551647.0,32,None,None,1,1.0,True
1657551648.0,32,None,None,1,1.0,True
1657551649.0,32,None,None,1,1.0,True
1657551650.0,32,None,None,1,1.0,True
1657551651.0,32,None,None,1,1.0,True
1657551652.0,32,None,None,1,1.0,True
1657551653.0,32,None,None,1,1.0,True
1657551654.0,32,None,None,1,1.0,True
1657551655.0,32,None,None,1,1.0,True
1657551656.0,32,None,None,1,1.0,True
1657551657.0,32,None,None,1,1.0,True
1657551658.0,32,None,None,1,1.0,True
1657551659.0,32,None,None,1,1.0,True
1657551660.0,32,None,None,1,1.0,True
1657551661.0,32,None,None,1,1.0,True
1657551662.0,32,None,None,1,1.0,True
1657551663.0,32,None,None,1,1.0,True
1657551664.0,32,None,None,1,1.0,True
1657551665.0,32,None,None,1,1.0,True
1657551666.0,32,None,None,1,1.0,True
1657551667.0,32,None,None,1,1.0,True
1657551668.0,32,None,None,1,1.0,True
1657551669.0,32,None,None,1,1.0,True
1657551670.0,32,None,None,1,1.0,True
1657551671.0,32,None,None,1,1.0,True
1657551672.0,32,None,None,1,1.0,True
1657551673.0,32,None,None,1,1.0,True
1657551674.0,32,None,None,1,1.0,True
1657551675.0,32,None,None,1,1.0,True
1657551676.0,32,None,None,1,1.0,True
1657551677.0,32,None,None,1,1.0,True
1657551678.0,32,None,None,1,1.0,True
1657551679.0,32,None,None,1,1.0,True
1657551680.0,32,None,None,1,1.0,True
1657551681.0,32,None,None,1,1.0,True
1657551682.0,32,None,None,1,1.0,True
1657551683.0,32,None,None,1,1.0,True
1657551684.0,32,None,None,1,1.0,True
1657551685.0,32,None,None,1,1.0,True
1657551686.0,32,None,None,1,1.0,True
1657551687.0,32,None,None,1,1.0,True
1657551688.0,32,None,None,1,1.0,True
1657551689.0,32,None,None,1,1.0,True
1657551690.0,32,None,None,1,1.0,True
1657551691.0,32,None,None,1,1.0,True
1657551692.0,32,None,None,1,1.0,True
1657551693.0,32,None,None,1,1.0,True
1657551694.0,32,None,None,1,1.0,True
1657551695.0,32,None,None,1,1.0,True
1657551696.0,32,None,None,1,1.0,True
1657551697.0,32,None,None,1,1.0,True
1657551698.0,32,None,None,1,1.0,True
1657551699.0,32,None,None,1,1.0,True
1657551700.0,32,None,None,1,1.0,True
1657551701.0,32,None,None,1,1.0,True
1657551702.0,32,None,None,1,1.0,True
1657551703.0,32,None,None,1,1.0,True
1657551704.0,32,None,None,1,1.0,True
1657551705.0,32,None,None,1,1.0,True
1657551706.0,32,None,None,1,1.0,True
1657551707.0,32,None,None,1,1.0,True
1657551708.0,32,None,None,1,1.0,True
1657551709.0,32,None,None,1,1.0,True
1657551710.0,32,None,None,1,1.0,True
1657551711.0,32,None,None,1,1.0,True
1657551712.0,32,None,None,1,1.0,True
1657551713.0,32,None,None,1,1.0,True
1657551714.0,32,None,None,1,1.0,True
1657551715.0,32,None,None,1,1.0,True
1657551716.0,32,None,None,1,1.0,True
1657551717.0,32,None,None,1,1.0,True
1657551718.0,32,None,None,1,1.0,True
1657551719.0,32,None,None,1,1.0,True
1657551720.0,32,None,None,1,1.0,True
1657551721.0,32,None,None,1,1.0,True
1657551722.0,32,None,None,1,1.0,True
1657551723.0,32,None,None,1,1.0,True
1657551724.0,32,None,None,1,1.0,True
1657551725.0,32,None,None,1,1.0,True
1657551726.0,32,None,None,1,1.0,True
1657551727.0,32,None,None,1,1.0,True
1657551728.0,32,None,None,1,1.0,True
1657551729.0,32,None,None,1,1.0,True
1657551730.0,32,None,None,1,1.0,True
1657551731.0,32,None,None,1,1.0,True
1657551732.0,32,None,None,1,1.0,True
1657551733.0,32,None,None,1,1.0,True
1657551734.0,32,None,None,1,1.0,True
1657551735.0,32,None,None,1,1.0,True
1657551736.0,32,None,None,1,1.0,True
1657551737.0,32,None,None,1,1.0,True
1657551738.0,32,None,None,1,1.0,True
1657551739.0,32,None,None,1,1.0,True
1657551740.0,32,None,None,1,1.0,True
1657551741.0,32,None,None,1,1.0,True
1657551742.0,32,None,None,1,1.0,True
1657551743.0,32,None,None,1,1.0,True
1657551744.0,32,None,None,1,1.0,True
1657551745.0,32,None,None,1,1.0,True
1657551746.0,32,None,None,1,1.0,True
1657551747.0,32,None,None,1,1.0,True
1657551748.0,32,None,None,1,1.0,True
1657551749.0,32,None,None,1,1.0,True
1657551750.0,32,None,None,1,1.0,True
1657551751.0,32,None,None,1,1.0,True
1657551752.0,32,None,None,1,1.0,True
1657551753.0,32,None,None,1,1.0,True
1657551754.0,32,None,None,1,1.0,True
1657551755.0,32,None,None,1,1.0,True
1657551756.0,32,None,None,1,1.0,True
1657551757.0,32,None,None,1,1.0,True
1657551758.0,32,None,None,1,1.0,True
1657551759.0,32,None,None,1,1.0,True
1657551760.0,32,None,None,1,1.0,True
1657551761.0,32,None,None,1,1.0,True
1657551762.0,32,None,None,1,1.0,True
1657551763.0,32,None,None,1,1.0,True
1657551764.0,32,None,None,1,1.0,True
1657551765.0,32,None,None,1,1.0,True
1657551766.0,32,None,None,1,1.0,True
1657551767.0,32,None,None,1,1.0,True
1657551768.0,32,None,None,1,1.0,True
1657551769.0,32,None,None,1,1.0,True
1657551770.0,32,None,None,1,1.0,True
1657551771.0,32,None,None,1,1.0,True
1657551772.0,32,None,None,1,1.0,True
1657551773.0,32,None,None,1,1.0,True
1657551774.0,32,None,None,1,1.0,True
1657551775.0,32,None,None,1,1.0,True
1657551776.0,32,None,None,1,1.0,True
1657551777.0,32,None,None,1,1.0,True
1657551778.0,32,None,None,1,1.0,True
1657551779.0,32,None,None,1,1.0,True
1657551780.0,32,None,None,1,1.0,True
1657551781.0,32,None,None,1,1.0,True
1657551782.0,32,None,None,1,1.0,True
1657551783.0,32,None,None,1,1.0,True
1657551784.0,32,None,None,1,1.0,True
1657551785.0,32,None,None,1,1.0,True
1657551786.0,32,None,None,1,1.0,True
1657551787.0,32,None,None,1,1.0,True
1657551788.0,32,None,None,1,1.0,True
1657551789.0,32,None,None,1,1.0,True
1657551790.0,32,None,None,1,1.0,True
1657551791.0,32,None,None,1,1.0,True
1657551792.0,32,None,None,1,1.0,True
1657551793.0,32,None,None,1,1.0,True
1657551794.0,32,None,None,1,1.0,True
1657551795.0,32,None,None,1,1.0,True
1657551796.0,32,None,None,1,1.0,True
1657551797.0,32,None,None,1,1.0,True
1657551798.0,32,None,None,1,1.0,True
1657551799.0,32,None,None,1,1.0,True
1657551800.0,32,None,None,1,1.0,True
1657551801.0,32,None,None,1,1.0,True
1657551802.0,32,None,None,1,1.0,True
1657551803.0,32,None,None,1,1.0,True
1657551804.0,32,None,None,1,1.0,True
1657551805.0,32,None,None,1,1.0,True
1657551806.0,32,None,None,1,1.0,True
1657551807.0,32,None,None,1,1.0,True
1657551808.0,32,None,None,1,1.0,True
1657551809.0,32,None,None,1,1.0,True
1657551810.0,32,None,None,1,1.0,True
1657551811.0,32,None,None,1,1.0,True
1657551812.0,32,None,None,1,1.0,True
1657551813.0,32,None,None,1,1.0,True
1657551814.0,32,None,None,1,1.0,True
1657551815.0,32,None,None,1,1.0,True
1657551816.0,32,None,None,1,1.0,True
1657551817.0,32,None,None,1,1.0,True
1657551818.0,32,None,None,1,1.0,True
1657551819.0,32,None,None,1,1.0,True
1657551820.0,32,None,None,1,1.0,True
1657551821.0,32,None,None,1,1.0,True
1657551822.0,32,None,None,1,1.0,True
1657551823.0,32,None,None,1,1.0,True
1657551824.0,32,None,None,1,1.0,True
1657551825.0,32,None,None,1,1.0,True
1657551826.0,32,None,None,1,1.0,True
1657551827.0,32,None,None,1,1.0,True
