label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,5055,5056,1646773926.0,1646774083.0,158,157.0
jelly,5056,10879,5824,1646774084.0,1646774265.0,182,181.0
None,10880,11103,224,1646774266.0,1646774272.0,7,6.0
count,11104,13087,1984,1646774273.0,1646774334.0,62,61.0
None,13088,13375,288,1646774335.0,1646774343.0,9,8.0
good,13376,16799,3424,1646774344.0,1646774450.0,107,106.0
None,16800,18143,1344,1646774451.0,1646774492.0,42,41.0
animal,18144,23967,5824,1646774493.0,1646774674.0,182,181.0
None,23968,24095,128,1646774675.0,1646774678.0,4,3.0
stress,24096,37823,13728,1646774679.0,1646775107.0,429,428.0
None,37824,37983,160,1646775108.0,1646775112.0,5,4.0
prepareSong,37984,39007,1024,1646775113.0,1646775144.0,32,31.0
None,39008,40255,1248,1646775145.0,1646775183.0,39,38.0
arithmetic,40256,46079,5824,1646775184.0,1646775365.0,182,181.0
None,46080,46175,96,1646775366.0,1646775368.0,3,2.0
bad,46176,49759,3584,1646775369.0,1646775480.0,112,111.0
None,49760,50549,790,1646775481.0,1646775505.0,25,24.0
