time,num_rows,first_label,last_label,unique_labels,delta_from_prev,is_integer_time
1646773926.0,32,None,None,1,,True
1646773927.0,32,None,None,1,1.0,True
1646773928.0,32,None,None,1,1.0,True
1646773929.0,32,None,None,1,1.0,True
1646773930.0,32,None,None,1,1.0,True
1646773931.0,32,None,None,1,1.0,True
1646773932.0,32,None,None,1,1.0,True
1646773933.0,32,None,None,1,1.0,True
1646773934.0,32,None,None,1,1.0,True
1646773935.0,32,None,None,1,1.0,True
1646773936.0,32,None,None,1,1.0,True
1646773937.0,32,None,None,1,1.0,True
1646773938.0,32,None,None,1,1.0,True
1646773939.0,32,None,None,1,1.0,True
1646773940.0,32,None,None,1,1.0,True
1646773941.0,32,None,None,1,1.0,True
1646773942.0,32,None,None,1,1.0,True
1646773943.0,32,None,None,1,1.0,True
1646773944.0,32,None,None,1,1.0,True
1646773945.0,32,None,None,1,1.0,True
1646773946.0,32,None,None,1,1.0,True
1646773947.0,32,None,None,1,1.0,True
1646773948.0,32,None,None,1,1.0,True
1646773949.0,32,None,None,1,1.0,True
1646773950.0,32,None,None,1,1.0,True
1646773951.0,32,None,None,1,1.0,True
1646773952.0,32,None,None,1,1.0,True
1646773953.0,32,None,None,1,1.0,True
1646773954.0,32,None,None,1,1.0,True
1646773955.0,32,None,None,1,1.0,True
1646773956.0,32,None,None,1,1.0,True
1646773957.0,32,None,None,1,1.0,True
1646773958.0,32,None,None,1,1.0,True
1646773959.0,32,None,None,1,1.0,True
1646773960.0,32,None,None,1,1.0,True
1646773961.0,32,None,None,1,1.0,True
1646773962.0,32,None,None,1,1.0,True
1646773963.0,32,None,None,1,1.0,True
1646773964.0,32,None,None,1,1.0,True
1646773965.0,32,None,None,1,1.0,True
1646773966.0,32,None,None,1,1.0,True
1646773967.0,32,None,None,1,1.0,True
1646773968.0,32,None,None,1,1.0,True
1646773969.0,32,None,None,1,1.0,True
1646773970.0,32,None,None,1,1.0,True
1646773971.0,32,None,None,1,1.0,True
1646773972.0,32,None,None,1,1.0,True
1646773973.0,32,None,None,1,1.0,True
1646773974.0,32,None,None,1,1.0,True
1646773975.0,32,None,None,1,1.0,True
1646773976.0,32,None,None,1,1.0,True
1646773977.0,32,None,None,1,1.0,True
1646773978.0,32,None,None,1,1.0,True
1646773979.0,32,None,None,1,1.0,True
1646773980.0,32,None,None,1,1.0,True
1646773981.0,32,None,None,1,1.0,True
1646773982.0,32,None,None,1,1.0,True
1646773983.0,32,None,None,1,1.0,True
1646773984.0,32,None,None,1,1.0,True
1646773985.0,32,None,None,1,1.0,True
1646773986.0,32,None,None,1,1.0,True
1646773987.0,32,None,None,1,1.0,True
1646773988.0,32,None,None,1,1.0,True
1646773989.0,32,None,None,1,1.0,True
1646773990.0,32,None,None,1,1.0,True
1646773991.0,32,None,None,1,1.0,True
1646773992.0,32,None,None,1,1.0,True
1646773993.0,32,None,None,1,1.0,True
1646773994.0,32,None,None,1,1.0,True
1646773995.0,32,None,None,1,1.0,True
1646773996.0,32,None,None,1,1.0,True
1646773997.0,32,None,None,1,1.0,True
1646773998.0,32,None,None,1,1.0,True
1646773999.0,32,None,None,1,1.0,True
1646774000.0,32,None,None,1,1.0,True
1646774001.0,32,None,None,1,1.0,True
1646774002.0,32,None,None,1,1.0,True
1646774003.0,32,None,None,1,1.0,True
1646774004.0,32,None,None,1,1.0,True
1646774005.0,32,None,None,1,1.0,True
1646774006.0,32,None,None,1,1.0,True
1646774007.0,32,None,None,1,1.0,True
1646774008.0,32,None,None,1,1.0,True
1646774009.0,32,None,None,1,1.0,True
1646774010.0,32,None,None,1,1.0,True
1646774011.0,32,None,None,1,1.0,True
1646774012.0,32,None,None,1,1.0,True
1646774013.0,32,None,None,1,1.0,True
1646774014.0,32,None,None,1,1.0,True
1646774015.0,32,None,None,1,1.0,True
1646774016.0,32,None,None,1,1.0,True
1646774017.0,32,None,None,1,1.0,True
1646774018.0,32,None,None,1,1.0,True
1646774019.0,32,None,None,1,1.0,True
1646774020.0,32,None,None,1,1.0,True
1646774021.0,32,None,None,1,1.0,True
1646774022.0,32,None,None,1,1.0,True
1646774023.0,32,None,None,1,1.0,True
1646774024.0,32,None,None,1,1.0,True
1646774025.0,32,None,None,1,1.0,True
1646774026.0,32,None,None,1,1.0,True
1646774027.0,32,None,None,1,1.0,True
1646774028.0,32,None,None,1,1.0,True
1646774029.0,32,None,None,1,1.0,True
1646774030.0,32,None,None,1,1.0,True
1646774031.0,32,None,None,1,1.0,True
1646774032.0,32,None,None,1,1.0,True
1646774033.0,32,None,None,1,1.0,True
1646774034.0,32,None,None,1,1.0,True
1646774035.0,32,None,None,1,1.0,True
1646774036.0,32,None,None,1,1.0,True
1646774037.0,32,None,None,1,1.0,True
1646774038.0,32,None,None,1,1.0,True
1646774039.0,32,None,None,1,1.0,True
1646774040.0,32,None,None,1,1.0,True
1646774041.0,32,None,None,1,1.0,True
1646774042.0,32,None,None,1,1.0,True
1646774043.0,32,None,None,1,1.0,True
1646774044.0,32,None,None,1,1.0,True
1646774045.0,32,None,None,1,1.0,True
1646774046.0,32,None,None,1,1.0,True
1646774047.0,32,None,None,1,1.0,True
1646774048.0,32,None,None,1,1.0,True
1646774049.0,32,None,None,1,1.0,True
1646774050.0,32,None,None,1,1.0,True
1646774051.0,32,None,None,1,1.0,True
1646774052.0,32,None,None,1,1.0,True
1646774053.0,32,None,None,1,1.0,True
1646774054.0,32,None,None,1,1.0,True
1646774055.0,32,None,None,1,1.0,True
1646774056.0,32,None,None,1,1.0,True
