label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,12319,12320,1643914082.0,1643914466.0,385,384.0
jelly,12320,18111,5792,1643914467.0,1643914647.0,181,180.0
None,18112,18399,288,1643914648.0,1643914656.0,9,8.0
count,18400,20351,1952,1643914657.0,1643914717.0,61,60.0
None,20352,20639,288,1643914718.0,1643914726.0,9,8.0
good,20640,24511,3872,1643914727.0,1643914847.0,121,120.0
None,24512,24831,320,1643914848.0,1643914857.0,10,9.0
animal,24832,30623,5792,1643914858.0,1643915038.0,181,180.0
None,30624,30751,128,1643915039.0,1643915042.0,4,3.0
stress,30752,44255,13504,1643915043.0,1643915464.0,422,421.0
None,44256,44799,544,1643915465.0,1643915481.0,17,16.0
prepareSong,44800,45631,832,1643915482.0,1643915507.0,26,25.0
None,45632,46719,1088,1643915508.0,1643915541.0,34,33.0
arithmetic,46720,52671,5952,1643915542.0,1643915727.0,186,185.0
None,52672,52959,288,1643915728.0,1643915736.0,9,8.0
bad,52960,56991,4032,1643915737.0,1643915862.0,126,125.0
None,56992,57755,764,1643915863.0,1643915886.0,24,23.0
