time,num_rows,first_label,last_label,unique_labels,delta_from_prev,is_integer_time
1643914082.0,32,None,None,1,,True
1643914083.0,32,None,None,1,1.0,True
1643914084.0,32,None,None,1,1.0,True
1643914085.0,32,None,None,1,1.0,True
1643914086.0,32,None,None,1,1.0,True
1643914087.0,32,None,None,1,1.0,True
1643914088.0,32,None,None,1,1.0,True
1643914089.0,32,None,None,1,1.0,True
1643914090.0,32,None,None,1,1.0,True
1643914091.0,32,None,None,1,1.0,True
1643914092.0,32,None,None,1,1.0,True
1643914093.0,32,None,None,1,1.0,True
1643914094.0,32,None,None,1,1.0,True
1643914095.0,32,None,None,1,1.0,True
1643914096.0,32,None,None,1,1.0,True
1643914097.0,32,None,None,1,1.0,True
1643914098.0,32,None,None,1,1.0,True
1643914099.0,32,None,None,1,1.0,True
1643914100.0,32,None,None,1,1.0,True
1643914101.0,32,None,None,1,1.0,True
1643914102.0,32,None,None,1,1.0,True
1643914103.0,32,None,None,1,1.0,True
1643914104.0,32,None,None,1,1.0,True
1643914105.0,32,None,None,1,1.0,True
1643914106.0,32,None,None,1,1.0,True
1643914107.0,32,None,None,1,1.0,True
1643914108.0,32,None,None,1,1.0,True
1643914109.0,32,None,None,1,1.0,True
1643914110.0,32,None,None,1,1.0,True
1643914111.0,32,None,None,1,1.0,True
1643914112.0,32,None,None,1,1.0,True
1643914113.0,32,None,None,1,1.0,True
1643914114.0,32,None,None,1,1.0,True
1643914115.0,32,None,None,1,1.0,True
1643914116.0,32,None,None,1,1.0,True
1643914117.0,32,None,None,1,1.0,True
1643914118.0,32,None,None,1,1.0,True
1643914119.0,32,None,None,1,1.0,True
1643914120.0,32,None,None,1,1.0,True
1643914121.0,32,None,None,1,1.0,True
1643914122.0,32,None,None,1,1.0,True
1643914123.0,32,None,None,1,1.0,True
1643914124.0,32,None,None,1,1.0,True
1643914125.0,32,None,None,1,1.0,True
1643914126.0,32,None,None,1,1.0,True
1643914127.0,32,None,None,1,1.0,True
1643914128.0,32,None,None,1,1.0,True
1643914129.0,32,None,None,1,1.0,True
1643914130.0,32,None,None,1,1.0,True
1643914131.0,32,None,None,1,1.0,True
1643914132.0,32,None,None,1,1.0,True
1643914133.0,32,None,None,1,1.0,True
1643914134.0,32,None,None,1,1.0,True
1643914135.0,32,None,None,1,1.0,True
1643914136.0,32,None,None,1,1.0,True
1643914137.0,32,None,None,1,1.0,True
1643914138.0,32,None,None,1,1.0,True
1643914139.0,32,None,None,1,1.0,True
1643914140.0,32,None,None,1,1.0,True
1643914141.0,32,None,None,1,1.0,True
1643914142.0,32,None,None,1,1.0,True
1643914143.0,32,None,None,1,1.0,True
1643914144.0,32,None,None,1,1.0,True
1643914145.0,32,None,None,1,1.0,True
1643914146.0,32,None,None,1,1.0,True
1643914147.0,32,None,None,1,1.0,True
1643914148.0,32,None,None,1,1.0,True
1643914149.0,32,None,None,1,1.0,True
1643914150.0,32,None,None,1,1.0,True
1643914151.0,32,None,None,1,1.0,True
1643914152.0,32,None,None,1,1.0,True
1643914153.0,32,None,None,1,1.0,True
1643914154.0,32,None,None,1,1.0,True
1643914155.0,32,None,None,1,1.0,True
1643914156.0,32,None,None,1,1.0,True
1643914157.0,32,None,None,1,1.0,True
1643914158.0,32,None,None,1,1.0,True
1643914159.0,32,None,None,1,1.0,True
1643914160.0,32,None,None,1,1.0,True
1643914161.0,32,None,None,1,1.0,True
1643914162.0,32,None,None,1,1.0,True
1643914163.0,32,None,None,1,1.0,True
1643914164.0,32,None,None,1,1.0,True
1643914165.0,32,None,None,1,1.0,True
1643914166.0,32,None,None,1,1.0,True
1643914167.0,32,None,None,1,1.0,True
1643914168.0,32,None,None,1,1.0,True
1643914169.0,32,None,None,1,1.0,True
1643914170.0,32,None,None,1,1.0,True
1643914171.0,32,None,None,1,1.0,True
1643914172.0,32,None,None,1,1.0,True
1643914173.0,32,None,None,1,1.0,True
1643914174.0,32,None,None,1,1.0,True
1643914175.0,32,None,None,1,1.0,True
1643914176.0,32,None,None,1,1.0,True
1643914177.0,32,None,None,1,1.0,True
1643914178.0,32,None,None,1,1.0,True
1643914179.0,32,None,None,1,1.0,True
1643914180.0,32,None,None,1,1.0,True
1643914181.0,32,None,None,1,1.0,True
1643914182.0,32,None,None,1,1.0,True
1643914183.0,32,None,None,1,1.0,True
1643914184.0,32,None,None,1,1.0,True
1643914185.0,32,None,None,1,1.0,True
1643914186.0,32,None,None,1,1.0,True
1643914187.0,32,None,None,1,1.0,True
1643914188.0,32,None,None,1,1.0,True
1643914189.0,32,None,None,1,1.0,True
1643914190.0,32,None,None,1,1.0,True
1643914191.0,32,None,None,1,1.0,True
1643914192.0,32,None,None,1,1.0,True
1643914193.0,32,None,None,1,1.0,True
1643914194.0,32,None,None,1,1.0,True
1643914195.0,32,None,None,1,1.0,True
1643914196.0,32,None,None,1,1.0,True
1643914197.0,32,None,None,1,1.0,True
1643914198.0,32,None,None,1,1.0,True
1643914199.0,32,None,None,1,1.0,True
1643914200.0,32,None,None,1,1.0,True
1643914201.0,32,None,None,1,1.0,True
1643914202.0,32,None,None,1,1.0,True
1643914203.0,32,None,None,1,1.0,True
1643914204.0,32,None,None,1,1.0,True
1643914205.0,32,None,None,1,1.0,True
1643914206.0,32,None,None,1,1.0,True
