label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,3967,3968,1645628564.0,1645628687.0,124,123.0
jelly,3968,9791,5824,1645628688.0,1645628869.0,182,181.0
None,9792,10175,384,1645628870.0,1645628881.0,12,11.0
count,10176,11967,1792,1645628882.0,1645628937.0,56,55.0
None,11968,12159,192,1645628938.0,1645628943.0,6,5.0
good,12160,15903,3744,1645628944.0,1645629060.0,117,116.0
None,15904,16287,384,1645629061.0,1645629072.0,12,11.0
animal,16288,22111,5824,1645629073.0,1645629254.0,182,181.0
None,22112,22207,96,1645629255.0,1645629257.0,3,2.0
stress,22208,35935,13728,1645629258.0,1645629686.0,429,428.0
None,35936,36191,256,1645629687.0,1645629694.0,8,7.0
prepareSong,36192,37151,960,1645629695.0,1645629724.0,30,29.0
None,37152,38079,928,1645629725.0,1645629753.0,29,28.0
arithmetic,38080,44063,5984,1645629754.0,1645629940.0,187,186.0
None,44064,44223,160,1645629941.0,1645629945.0,5,4.0
bad,44224,47967,3744,1645629946.0,1645630062.0,117,116.0
None,47968,48947,980,1645630063.0,1645630093.0,31,30.0
