time,num_rows,first_label,last_label,unique_labels,delta_from_prev,is_integer_time
1645628564.0,32,None,None,1,,True
1645628565.0,32,None,None,1,1.0,True
1645628566.0,32,None,None,1,1.0,True
1645628567.0,32,None,None,1,1.0,True
1645628568.0,32,None,None,1,1.0,True
1645628569.0,32,None,None,1,1.0,True
1645628570.0,32,None,None,1,1.0,True
1645628571.0,32,None,None,1,1.0,True
1645628572.0,32,None,None,1,1.0,True
1645628573.0,32,None,None,1,1.0,True
1645628574.0,32,None,None,1,1.0,True
1645628575.0,32,None,None,1,1.0,True
1645628576.0,32,None,None,1,1.0,True
1645628577.0,32,None,None,1,1.0,True
1645628578.0,32,None,None,1,1.0,True
1645628579.0,32,None,None,1,1.0,True
1645628580.0,32,None,None,1,1.0,True
1645628581.0,32,None,None,1,1.0,True
1645628582.0,32,None,None,1,1.0,True
1645628583.0,32,None,None,1,1.0,True
1645628584.0,32,None,None,1,1.0,True
1645628585.0,32,None,None,1,1.0,True
1645628586.0,32,None,None,1,1.0,True
1645628587.0,32,None,None,1,1.0,True
1645628588.0,32,None,None,1,1.0,True
1645628589.0,32,None,None,1,1.0,True
1645628590.0,32,None,None,1,1.0,True
1645628591.0,32,None,None,1,1.0,True
1645628592.0,32,None,None,1,1.0,True
1645628593.0,32,None,None,1,1.0,True
1645628594.0,32,None,None,1,1.0,True
1645628595.0,32,None,None,1,1.0,True
1645628596.0,32,None,None,1,1.0,True
1645628597.0,32,None,None,1,1.0,True
1645628598.0,32,None,None,1,1.0,True
1645628599.0,32,None,None,1,1.0,True
1645628600.0,32,None,None,1,1.0,True
1645628601.0,32,None,None,1,1.0,True
1645628602.0,32,None,None,1,1.0,True
1645628603.0,32,None,None,1,1.0,True
1645628604.0,32,None,None,1,1.0,True
1645628605.0,32,None,None,1,1.0,True
1645628606.0,32,None,None,1,1.0,True
1645628607.0,32,None,None,1,1.0,True
1645628608.0,32,None,None,1,1.0,True
1645628609.0,32,None,None,1,1.0,True
1645628610.0,32,None,None,1,1.0,True
1645628611.0,32,None,None,1,1.0,True
1645628612.0,32,None,None,1,1.0,True
1645628613.0,32,None,None,1,1.0,True
1645628614.0,32,None,None,1,1.0,True
1645628615.0,32,None,None,1,1.0,True
1645628616.0,32,None,None,1,1.0,True
1645628617.0,32,None,None,1,1.0,True
1645628618.0,32,None,None,1,1.0,True
1645628619.0,32,None,None,1,1.0,True
1645628620.0,32,None,None,1,1.0,True
1645628621.0,32,None,None,1,1.0,True
1645628622.0,32,None,None,1,1.0,True
1645628623.0,32,None,None,1,1.0,True
1645628624.0,32,None,None,1,1.0,True
1645628625.0,32,None,None,1,1.0,True
1645628626.0,32,None,None,1,1.0,True
1645628627.0,32,None,None,1,1.0,True
1645628628.0,32,None,None,1,1.0,True
1645628629.0,32,None,None,1,1.0,True
1645628630.0,32,None,None,1,1.0,True
1645628631.0,32,None,None,1,1.0,True
1645628632.0,32,None,None,1,1.0,True
1645628633.0,32,None,None,1,1.0,True
1645628634.0,32,None,None,1,1.0,True
1645628635.0,32,None,None,1,1.0,True
1645628636.0,32,None,None,1,1.0,True
1645628637.0,32,None,None,1,1.0,True
1645628638.0,32,None,None,1,1.0,True
1645628639.0,32,None,None,1,1.0,True
1645628640.0,32,None,None,1,1.0,True
1645628641.0,32,None,None,1,1.0,True
1645628642.0,32,None,None,1,1.0,True
1645628643.0,32,None,None,1,1.0,True
1645628644.0,32,None,None,1,1.0,True
1645628645.0,32,None,None,1,1.0,True
1645628646.0,32,None,None,1,1.0,True
1645628647.0,32,None,None,1,1.0,True
1645628648.0,32,None,None,1,1.0,True
1645628649.0,32,None,None,1,1.0,True
1645628650.0,32,None,None,1,1.0,True
1645628651.0,32,None,None,1,1.0,True
1645628652.0,32,None,None,1,1.0,True
1645628653.0,32,None,None,1,1.0,True
1645628654.0,32,None,None,1,1.0,True
1645628655.0,32,None,None,1,1.0,True
1645628656.0,32,None,None,1,1.0,True
1645628657.0,32,None,None,1,1.0,True
1645628658.0,32,None,None,1,1.0,True
1645628659.0,32,None,None,1,1.0,True
1645628660.0,32,None,None,1,1.0,True
1645628661.0,32,None,None,1,1.0,True
1645628662.0,32,None,None,1,1.0,True
1645628663.0,32,None,None,1,1.0,True
1645628664.0,32,None,None,1,1.0,True
1645628665.0,32,None,None,1,1.0,True
1645628666.0,32,None,None,1,1.0,True
1645628667.0,32,None,None,1,1.0,True
1645628668.0,32,None,None,1,1.0,True
1645628669.0,32,None,None,1,1.0,True
1645628670.0,32,None,None,1,1.0,True
1645628671.0,32,None,None,1,1.0,True
1645628672.0,32,None,None,1,1.0,True
1645628673.0,32,None,None,1,1.0,True
1645628674.0,32,None,None,1,1.0,True
1645628675.0,32,None,None,1,1.0,True
1645628676.0,32,None,None,1,1.0,True
1645628677.0,32,None,None,1,1.0,True
1645628678.0,32,None,None,1,1.0,True
1645628679.0,32,None,None,1,1.0,True
1645628680.0,32,None,None,1,1.0,True
1645628681.0,32,None,None,1,1.0,True
1645628682.0,32,None,None,1,1.0,True
1645628683.0,32,None,None,1,1.0,True
1645628684.0,32,None,None,1,1.0,True
1645628685.0,32,None,None,1,1.0,True
1645628686.0,32,None,None,1,1.0,True
1645628687.0,32,None,None,1,1.0,True
1645628688.0,32,jelly,jelly,1,1.0,True
1645628689.0,32,jelly,jelly,1,1.0,True
1645628690.0,32,jelly,jelly,1,1.0,True
1645628691.0,32,jelly,jelly,1,1.0,True
1645628692.0,32,jelly,jelly,1,1.0,True
1645628693.0,32,jelly,jelly,1,1.0,True
1645628694.0,32,jelly,jelly,1,1.0,True
1645628695.0,32,jelly,jelly,1,1.0,True
1645628696.0,32,jelly,jelly,1,1.0,True
1645628697.0,32,jelly,jelly,1,1.0,True
1645628698.0,32,jelly,jelly,1,1.0,True
1645628699.0,32,jelly,jelly,1,1.0,True
1645628700.0,32,jelly,jelly,1,1.0,True
1645628701.0,32,jelly,jelly,1,1.0,True
1645628702.0,32,jelly,jelly,1,1.0,True
1645628703.0,32,jelly,jelly,1,1.0,True
1645628704.0,32,jelly,jelly,1,1.0,True
1645628705.0,32,jelly,jelly,1,1.0,True
1645628706.0,32,jelly,jelly,1,1.0,True
1645628707.0,32,jelly,jelly,1,1.0,True
1645628708.0,32,jelly,jelly,1,1.0,True
1645628709.0,32,jelly,jelly,1,1.0,True
1645628710.0,32,jelly,jelly,1,1.0,True
1645628711.0,32,jelly,jelly,1,1.0,True
1645628712.0,32,jelly,jelly,1,1.0,True
1645628713.0,32,jelly,jelly,1,1.0,True
1645628714.0,32,jelly,jelly,1,1.0,True
1645628715.0,32,jelly,jelly,1,1.0,True
1645628716.0,32,jelly,jelly,1,1.0,True
1645628717.0,32,jelly,jelly,1,1.0,True
1645628718.0,32,jelly,jelly,1,1.0,True
1645628719.0,32,jelly,jelly,1,1.0,True
1645628720.0,32,jelly,jelly,1,1.0,True
1645628721.0,32,jelly,jelly,1,1.0,True
1645628722.0,32,jelly,jelly,1,1.0,True
1645628723.0,32,jelly,jelly,1,1.0,True
1645628724.0,32,jelly,jelly,1,1.0,True
1645628725.0,32,jelly,jelly,1,1.0,True
1645628726.0,32,jelly,jelly,1,1.0,True
1645628727.0,32,jelly,jelly,1,1.0,True
1645628728.0,32,jelly,jelly,1,1.0,True
1645628729.0,32,jelly,jelly,1,1.0,True
1645628730.0,32,jelly,jelly,1,1.0,True
1645628731.0,32,jelly,jelly,1,1.0,True
1645628732.0,32,jelly,jelly,1,1.0,True
1645628733.0,32,jelly,jelly,1,1.0,True
1645628734.0,32,jelly,jelly,1,1.0,True
1645628735.0,32,jelly,jelly,1,1.0,True
1645628736.0,32,jelly,jelly,1,1.0,True
1645628737.0,32,jelly,jelly,1,1.0,True
1645628738.0,32,jelly,jelly,1,1.0,True
1645628739.0,32,jelly,jelly,1,1.0,True
1645628740.0,32,jelly,jelly,1,1.0,True
1645628741.0,32,jelly,jelly,1,1.0,True
1645628742.0,32,jelly,jelly,1,1.0,True
1645628743.0,32,jelly,jelly,1,1.0,True
1645628744.0,32,jelly,jelly,1,1.0,True
1645628745.0,32,jelly,jelly,1,1.0,True
1645628746.0,32,jelly,jelly,1,1.0,True
1645628747.0,32,jelly,jelly,1,1.0,True
1645628748.0,32,jelly,jelly,1,1.0,True
1645628749.0,32,jelly,jelly,1,1.0,True
1645628750.0,32,jelly,jelly,1,1.0,True
1645628751.0,32,jelly,jelly,1,1.0,True
1645628752.0,32,jelly,jelly,1,1.0,True
1645628753.0,32,jelly,jelly,1,1.0,True
1645628754.0,32,jelly,jelly,1,1.0,True
1645628755.0,32,jelly,jelly,1,1.0,True
1645628756.0,32,jelly,jelly,1,1.0,True
1645628757.0,32,jelly,jelly,1,1.0,True
1645628758.0,32,jelly,jelly,1,1.0,True
1645628759.0,32,jelly,jelly,1,1.0,True
1645628760.0,32,jelly,jelly,1,1.0,True
1645628761.0,32,jelly,jelly,1,1.0,True
1645628762.0,32,jelly,jelly,1,1.0,True
1645628763.0,32,jelly,jelly,1,1.0,True
1645628764.0,32,jelly,jelly,1,1.0,True
1645628765.0,32,jelly,jelly,1,1.0,True
1645628766.0,32,jelly,jelly,1,1.0,True
1645628767.0,32,jelly,jelly,1,1.0,True
1645628768.0,32,jelly,jelly,1,1.0,True
1645628769.0,32,jelly,jelly,1,1.0,True
1645628770.0,32,jelly,jelly,1,1.0,True
1645628771.0,32,jelly,jelly,1,1.0,True
1645628772.0,32,jelly,jelly,1,1.0,True
1645628773.0,32,jelly,jelly,1,1.0,True
1645628774.0,32,jelly,jelly,1,1.0,True
1645628775.0,32,jelly,jelly,1,1.0,True
1645628776.0,32,jelly,jelly,1,1.0,True
1645628777.0,32,jelly,jelly,1,1.0,True
1645628778.0,32,jelly,jelly,1,1.0,True
1645628779.0,32,jelly,jelly,1,1.0,True
1645628780.0,32,jelly,jelly,1,1.0,True
1645628781.0,32,jelly,jelly,1,1.0,True
1645628782.0,32,jelly,jelly,1,1.0,True
1645628783.0,32,jelly,jelly,1,1.0,True
1645628784.0,32,jelly,jelly,1,1.0,True
1645628785.0,32,jelly,jelly,1,1.0,True
1645628786.0,32,jelly,jelly,1,1.0,True
1645628787.0,32,jelly,jelly,1,1.0,True
1645628788.0,32,jelly,jelly,1,1.0,True
1645628789.0,32,jelly,jelly,1,1.0,True
1645628790.0,32,jelly,jelly,1,1.0,True
1645628791.0,32,jelly,jelly,1,1.0,True
1645628792.0,32,jelly,jelly,1,1.0,True
1645628793.0,32,jelly,jelly,1,1.0,True
1645628794.0,32,jelly,jelly,1,1.0,True
1645628795.0,32,jelly,jelly,1,1.0,True
1645628796.0,32,jelly,jelly,1,1.0,True
1645628797.0,32,jelly,jelly,1,1.0,True
1645628798.0,32,jelly,jelly,1,1.0,True
1645628799.0,32,jelly,jelly,1,1.0,True
1645628800.0,32,jelly,jelly,1,1.0,True
1645628801.0,32,jelly,jelly,1,1.0,True
1645628802.0,32,jelly,jelly,1,1.0,True
1645628803.0,32,jelly,jelly,1,1.0,True
1645628804.0,32,jelly,jelly,1,1.0,True
1645628805.0,32,jelly,jelly,1,1.0,True
1645628806.0,32,jelly,jelly,1,1.0,True
1645628807.0,32,jelly,jelly,1,1.0,True
1645628808.0,32,jelly,jelly,1,1.0,True
1645628809.0,32,jelly,jelly,1,1.0,True
1645628810.0,32,jelly,jelly,1,1.0,True
1645628811.0,32,jelly,jelly,1,1.0,True
1645628812.0,32,jelly,jelly,1,1.0,True
1645628813.0,32,jelly,jelly,1,1.0,True
