label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,927,928,1663349060,1663349088,29,28
jelly,928,6719,5792,1663349089,1663349269,181,180
None,6720,6879,160,1663349270,1663349274,5,4
count,6880,8831,1952,1663349275,1663349335,61,60
None,8832,9087,256,1663349336,1663349343,8,7
good,9088,12735,3648,1663349344,1663349457,114,113
None,12736,15583,2848,1663349458,1663349546,89,88
animal,15584,21247,5664,1663349547,1663349723,177,176
None,21248,21343,96,1663349724,1663349726,3,2
stress,21344,35103,13760,1663349727,1663350156,430,429
None,35104,35263,160,1663350157,1663350161,5,4
prepareSong,35264,36255,992,1663350162,1663350192,31,30
None,36256,37183,928,1663350193,1663350221,29,28
arithmetic,37184,40629,3446,1663350222,1663350432,108,210
None,40630,40757,128,1663350433,1663350436,4,3
bad,40758,44153,3396,1663350437,1663350543,107,106
