time,num_rows,first_label,last_label,unique_labels,delta_from_prev,is_integer_time
1663349060,32,None,None,1,,True
1663349061,32,None,None,1,1.0,True
1663349062,32,None,None,1,1.0,True
1663349063,32,None,None,1,1.0,True
1663349064,32,None,None,1,1.0,True
1663349065,32,None,None,1,1.0,True
1663349066,32,None,None,1,1.0,True
1663349067,32,None,None,1,1.0,True
1663349068,32,None,None,1,1.0,True
1663349069,32,None,None,1,1.0,True
1663349070,32,None,None,1,1.0,True
1663349071,32,None,None,1,1.0,True
1663349072,32,None,None,1,1.0,True
1663349073,32,None,None,1,1.0,True
1663349074,32,None,None,1,1.0,True
1663349075,32,None,None,1,1.0,True
1663349076,32,None,None,1,1.0,True
1663349077,32,None,None,1,1.0,True
1663349078,32,None,None,1,1.0,True
1663349079,32,None,None,1,1.0,True
1663349080,32,None,None,1,1.0,True
1663349081,32,None,None,1,1.0,True
1663349082,32,None,None,1,1.0,True
1663349083,32,None,None,1,1.0,True
1663349084,32,None,None,1,1.0,True
1663349085,32,None,None,1,1.0,True
1663349086,32,None,None,1,1.0,True
1663349087,32,None,None,1,1.0,True
1663349088,32,None,None,1,1.0,True
1663349089,32,jelly,jelly,1,1.0,True
1663349090,32,jelly,jelly,1,1.0,True
1663349091,32,jelly,jelly,1,1.0,True
1663349092,32,jelly,jelly,1,1.0,True
1663349093,32,jelly,jelly,1,1.0,True
1663349094,32,jelly,jelly,1,1.0,True
1663349095,32,jelly,jelly,1,1.0,True
1663349096,32,jelly,jelly,1,1.0,True
1663349097,32,jelly,jelly,1,1.0,True
1663349098,32,jelly,jelly,1,1.0,True
1663349099,32,jelly,jelly,1,1.0,True
1663349100,32,jelly,jelly,1,1.0,True
1663349101,32,jelly,jelly,1,1.0,True
1663349102,32,jelly,jelly,1,1.0,True
1663349103,32,jelly,jelly,1,1.0,True
1663349104,32,jelly,jelly,1,1.0,True
1663349105,32,jelly,jelly,1,1.0,True
1663349106,32,jelly,jelly,1,1.0,True
1663349107,32,jelly,jelly,1,1.0,True
1663349108,32,jelly,jelly,1,1.0,True
1663349109,32,jelly,jelly,1,1.0,True
1663349110,32,jelly,jelly,1,1.0,True
