label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,4319,4320,1658420699.0,1658420833.0,135,134.0
jelly,4320,10111,5792,1658420834.0,1658421014.0,181,180.0
None,10112,10335,224,1658421015.0,1658421021.0,7,6.0
count,10336,12287,1952,1658421022.0,1658421082.0,61,60.0
None,12288,13631,1344,1658421083.0,1658421124.0,42,41.0
good,13632,17503,3872,1658421125.0,1658421245.0,121,120.0
None,17504,17823,320,1658421246.0,1658421255.0,10,9.0
animal,17824,23615,5792,1658421256.0,1658421436.0,181,180.0
None,23616,23743,128,1658421437.0,1658421440.0,4,3.0
stress,23744,37439,13696,1658421441.0,1658421868.0,428,427.0
None,37440,37695,256,1658421869.0,1658421876.0,8,7.0
prepareSong,37696,38687,992,1658421877.0,1658421907.0,31,30.0
None,38688,39615,928,1658421908.0,1658421936.0,29,28.0
arithmetic,39616,45407,5792,1658421937.0,1658422117.0,181,180.0
None,45408,45855,448,1658422118.0,1658422131.0,14,13.0
bad,45856,49727,3872,1658422132.0,1658422252.0,121,120.0
None,49728,49829,102,1658422253.0,1658422256.0,4,3.0
