label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,1279,1280,1663602233.0,1663602272.0,40,39.0
jelly,1280,6687,5408,1663602273.0,1663602441.0,169,168.0
None,6688,7423,736,1663602442.0,1663602464.0,23,22.0
count,7424,9247,1824,1663602465.0,1663602521.0,57,56.0
None,9248,9503,256,1663602522.0,1663602529.0,8,7.0
good,9504,13215,3712,1663602530.0,1663602645.0,116,115.0
None,13216,13599,384,1663602646.0,1663602657.0,12,11.0
animal,13600,19391,5792,1663602658.0,1663602838.0,181,180.0
None,19392,19519,128,1663602839.0,1663602842.0,4,3.0
stress,19520,27071,7552,1663602843.0,1663603078.0,236,235.0
None,27072,28479,1408,1663603079.0,1663603122.0,44,43.0
prepareSong,28480,29471,992,1663603123.0,1663603153.0,31,30.0
None,29472,30463,992,1663603154.0,1663603184.0,31,30.0
arithmetic,30464,36255,5792,1663603185.0,1663603365.0,181,180.0
None,36256,36543,288,1663603366.0,1663603374.0,9,8.0
bad,36544,40255,3712,1663603375.0,1663603490.0,116,115.0
None,40256,40967,712,1663603491.0,1663603513.0,23,22.0
