label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,6687,6688,1645476882.0,1645477090.0,209,208.0
jelly,6688,11807,5120,1645477091.0,1645477250.0,160,159.0
None,11808,12031,224,1645477251.0,1645477257.0,7,6.0
count,12032,14015,1984,1645477258.0,1645477319.0,62,61.0
None,14016,14303,288,1645477320.0,1645477328.0,9,8.0
good,14304,18143,3840,1645477329.0,1645477448.0,120,119.0
None,18144,18303,160,1645477449.0,1645477453.0,5,4.0
animal,18304,24127,5824,1645477454.0,1645477635.0,182,181.0
None,24128,25855,1728,1645477636.0,1645477689.0,54,53.0
stress,25856,37983,12128,1645477690.0,1645478068.0,379,378.0
None,37984,38143,160,1645478069.0,1645478073.0,5,4.0
prepareSong,38144,39167,1024,1645478074.0,1645478105.0,32,31.0
None,39168,41183,2016,1645478106.0,1645478168.0,63,62.0
arithmetic,41184,46143,4960,1645478169.0,1645478323.0,155,154.0
None,46144,46367,224,1645478324.0,1645478330.0,7,6.0
bad,46368,49631,3264,1645478331.0,1645478432.0,102,101.0
None,49632,50711,1080,1645478433.0,1645478466.0,34,33.0
