label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,2783,2784,1663605347,1663605433,87,86
jelly,2784,8575,5792,1663605434,1663605614,181,180
None,8576,8927,352,1663605615,1663605625,11,10
count,8928,10783,1856,1663605626,1663605683,58,57
None,10784,11071,288,1663605684,1663605692,9,8
good,11072,14559,3488,1663605693,1663605801,109,108
None,14560,15071,512,1663605802,1663605817,16,15
animal,15072,20863,5792,1663605818,1663605998,181,180
None,20864,21023,160,1663605999,1663606003,5,4
stress,21024,34751,13728,1663606004,1663606432,429,428
None,34752,34943,192,1663606433,1663606438,6,5
prepareSong,34944,35935,992,1663606439,1663606469,31,30
None,35936,37151,1216,1663606470,1663606507,38,37
arithmetic,37152,41843,4692,1663606508,1663606654,147,146
None,41844,42579,736,1663606700,1663606722,23,22
bad,42580,46451,3872,1663606723,1663606843,121,120
None,46452,47351,900,1663606844,1663606872,29,28
