time,num_rows,first_label,last_label,unique_labels,delta_from_prev,is_integer_time
1663605347,32,None,None,1,,True
1663605348,32,None,None,1,1.0,True
1663605349,32,None,None,1,1.0,True
1663605350,32,None,None,1,1.0,True
1663605351,32,None,None,1,1.0,True
1663605352,32,None,None,1,1.0,True
1663605353,32,None,None,1,1.0,True
1663605354,32,None,None,1,1.0,True
1663605355,32,None,None,1,1.0,True
1663605356,32,None,None,1,1.0,True
1663605357,32,None,None,1,1.0,True
1663605358,32,None,None,1,1.0,True
1663605359,32,None,None,1,1.0,True
1663605360,32,None,None,1,1.0,True
1663605361,32,None,None,1,1.0,True
1663605362,32,None,None,1,1.0,True
1663605363,32,None,None,1,1.0,True
1663605364,32,None,None,1,1.0,True
1663605365,32,None,None,1,1.0,True
1663605366,32,None,None,1,1.0,True
1663605367,32,None,None,1,1.0,True
1663605368,32,None,None,1,1.0,True
1663605369,32,None,None,1,1.0,True
1663605370,32,None,None,1,1.0,True
1663605371,32,None,None,1,1.0,True
1663605372,32,None,None,1,1.0,True
1663605373,32,None,None,1,1.0,True
1663605374,32,None,None,1,1.0,True
1663605375,32,None,None,1,1.0,True
1663605376,32,None,None,1,1.0,True
1663605377,32,None,None,1,1.0,True
1663605378,32,None,None,1,1.0,True
1663605379,32,None,None,1,1.0,True
1663605380,32,None,None,1,1.0,True
1663605381,32,None,None,1,1.0,True
1663605382,32,None,None,1,1.0,True
1663605383,32,None,None,1,1.0,True
1663605384,32,None,None,1,1.0,True
1663605385,32,None,None,1,1.0,True
1663605386,32,None,None,1,1.0,True
1663605387,32,None,None,1,1.0,True
1663605388,32,None,None,1,1.0,True
1663605389,32,None,None,1,1.0,True
1663605390,32,None,None,1,1.0,True
1663605391,32,None,None,1,1.0,True
1663605392,32,None,None,1,1.0,True
1663605393,32,None,None,1,1.0,True
1663605394,32,None,None,1,1.0,True
1663605395,32,None,None,1,1.0,True
1663605396,32,None,None,1,1.0,True
1663605397,32,None,None,1,1.0,True
1663605398,32,None,None,1,1.0,True
1663605399,32,None,None,1,1.0,True
1663605400,32,None,None,1,1.0,True
1663605401,32,None,None,1,1.0,True
1663605402,32,None,None,1,1.0,True
1663605403,32,None,None,1,1.0,True
1663605404,32,None,None,1,1.0,True
1663605405,32,None,None,1,1.0,True
1663605406,32,None,None,1,1.0,True
1663605407,32,None,None,1,1.0,True
1663605408,32,None,None,1,1.0,True
1663605409,32,None,None,1,1.0,True
1663605410,32,None,None,1,1.0,True
1663605411,32,None,None,1,1.0,True
1663605412,32,None,None,1,1.0,True
1663605413,32,None,None,1,1.0,True
1663605414,32,None,None,1,1.0,True
1663605415,32,None,None,1,1.0,True
1663605416,32,None,None,1,1.0,True
1663605417,32,None,None,1,1.0,True
1663605418,32,None,None,1,1.0,True
1663605419,32,None,None,1,1.0,True
1663605420,32,None,None,1,1.0,True
1663605421,32,None,None,1,1.0,True
1663605422,32,None,None,1,1.0,True
1663605423,32,None,None,1,1.0,True
1663605424,32,None,None,1,1.0,True
1663605425,32,None,None,1,1.0,True
1663605426,32,None,None,1,1.0,True
1663605427,32,None,None,1,1.0,True
1663605428,32,None,None,1,1.0,True
1663605429,32,None,None,1,1.0,True
1663605430,32,None,None,1,1.0,True
1663605431,32,None,None,1,1.0,True
1663605432,32,None,None,1,1.0,True
1663605433,32,None,None,1,1.0,True
1663605434,32,jelly,jelly,1,1.0,True
1663605435,32,jelly,jelly,1,1.0,True
1663605436,32,jelly,jelly,1,1.0,True
1663605437,32,jelly,jelly,1,1.0,True
1663605438,32,jelly,jelly,1,1.0,True
1663605439,32,jelly,jelly,1,1.0,True
1663605440,32,jelly,jelly,1,1.0,True
1663605441,32,jelly,jelly,1,1.0,True
1663605442,32,jelly,jelly,1,1.0,True
1663605443,32,jelly,jelly,1,1.0,True
1663605444,32,jelly,jelly,1,1.0,True
1663605445,32,jelly,jelly,1,1.0,True
1663605446,32,jelly,jelly,1,1.0,True
1663605447,32,jelly,jelly,1,1.0,True
1663605448,32,jelly,jelly,1,1.0,True
1663605449,32,jelly,jelly,1,1.0,True
1663605450,32,jelly,jelly,1,1.0,True
1663605451,32,jelly,jelly,1,1.0,True
1663605452,32,jelly,jelly,1,1.0,True
1663605453,32,jelly,jelly,1,1.0,True
