label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,1887,1888,1644261645.0,1644261703.0,59,58.0
jelly,1888,6943,5056,1644261704.0,1644261861.0,158,157.0
None,6944,7199,256,1644261862.0,1644261869.0,8,7.0
count,7200,9119,1920,1644261870.0,1644261929.0,60,59.0
None,9120,9407,288,1644261930.0,1644261938.0,9,8.0
good,9408,12991,3584,1644261939.0,1644262050.0,112,111.0
None,12992,13439,448,1644262051.0,1644262064.0,14,13.0
animal,13440,19263,5824,1644262065.0,1644262246.0,182,181.0
None,19264,19679,416,1644262247.0,1644262259.0,13,12.0
stress,19680,33407,13728,1644262260.0,1644262688.0,429,428.0
None,33408,34847,1440,1644262689.0,1644262733.0,45,44.0
prepareSong,34848,35871,1024,1644262734.0,1644262765.0,32,31.0
None,35872,36767,896,1644262766.0,1644262793.0,28,27.0
arithmetic,36768,42591,5824,1644262794.0,1644262975.0,182,181.0
None,42592,43007,416,1644262976.0,1644262988.0,13,12.0
bad,43008,46751,3744,1644262989.0,1644263105.0,117,116.0
None,46752,47285,534,1644263106.0,1644263122.0,17,16.0
