label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,10559,10560,1645203593.0,1645203922.0,330,329.0
jelly,10560,14719,4160,1645203923.0,1645204052.0,130,129.0
None,14720,15007,288,1645204053.0,1645204061.0,9,8.0
count,15008,16895,1888,1645204062.0,1645204120.0,59,58.0
None,16896,17151,256,1645204121.0,1645204128.0,8,7.0
good,17152,20863,3712,1645204129.0,1645204244.0,116,115.0
None,20864,21215,352,1645204245.0,1645204255.0,11,10.0
animal,21216,27039,5824,1645204256.0,1645204437.0,182,181.0
None,27040,27135,96,1645204438.0,1645204440.0,3,2.0
stress,27136,40959,13824,1645204441.0,1645204872.0,432,431.0
None,40960,41055,96,1645204873.0,1645204875.0,3,2.0
prepareSong,41056,42079,1024,1645204876.0,1645204907.0,32,31.0
None,42080,44895,2816,1645204908.0,1645204995.0,88,87.0
arithmetic,44896,50879,5984,1645204996.0,1645205182.0,187,186.0
None,50880,50975,96,1645205183.0,1645205185.0,3,2.0
bad,50976,54879,3904,1645205186.0,1645205307.0,122,121.0
None,54880,55421,542,1645205308.0,1645205324.0,17,16.0
