time,num_rows,first_label,last_label,unique_labels,delta_from_prev,is_integer_time
1645203593.0,32,None,None,1,,True
1645203594.0,32,None,None,1,1.0,True
1645203595.0,32,None,None,1,1.0,True
1645203596.0,32,None,None,1,1.0,True
1645203597.0,32,None,None,1,1.0,True
1645203598.0,32,None,None,1,1.0,True
1645203599.0,32,None,None,1,1.0,True
1645203600.0,32,None,None,1,1.0,True
1645203601.0,32,None,None,1,1.0,True
1645203602.0,32,None,None,1,1.0,True
1645203603.0,32,None,None,1,1.0,True
1645203604.0,32,None,None,1,1.0,True
1645203605.0,32,None,None,1,1.0,True
1645203606.0,32,None,None,1,1.0,True
1645203607.0,32,None,None,1,1.0,True
1645203608.0,32,None,None,1,1.0,True
1645203609.0,32,None,None,1,1.0,True
1645203610.0,32,None,None,1,1.0,True
1645203611.0,32,None,None,1,1.0,True
1645203612.0,32,None,None,1,1.0,True
1645203613.0,32,None,None,1,1.0,True
1645203614.0,32,None,None,1,1.0,True
1645203615.0,32,None,None,1,1.0,True
1645203616.0,32,None,None,1,1.0,True
1645203617.0,32,None,None,1,1.0,True
1645203618.0,32,None,None,1,1.0,True
1645203619.0,32,None,None,1,1.0,True
1645203620.0,32,None,None,1,1.0,True
1645203621.0,32,None,None,1,1.0,True
1645203622.0,32,None,None,1,1.0,True
1645203623.0,32,None,None,1,1.0,True
1645203624.0,32,None,None,1,1.0,True
1645203625.0,32,None,None,1,1.0,True
1645203626.0,32,None,None,1,1.0,True
1645203627.0,32,None,None,1,1.0,True
1645203628.0,32,None,None,1,1.0,True
1645203629.0,32,None,None,1,1.0,True
1645203630.0,32,None,None,1,1.0,True
1645203631.0,32,None,None,1,1.0,True
1645203632.0,32,None,None,1,1.0,True
1645203633.0,32,None,None,1,1.0,True
1645203634.0,32,None,None,1,1.0,True
1645203635.0,32,None,None,1,1.0,True
1645203636.0,32,None,None,1,1.0,True
1645203637.0,32,None,None,1,1.0,True
1645203638.0,32,None,None,1,1.0,True
1645203639.0,32,None,None,1,1.0,True
1645203640.0,32,None,None,1,1.0,True
1645203641.0,32,None,None,1,1.0,True
1645203642.0,32,None,None,1,1.0,True
1645203643.0,32,None,None,1,1.0,True
1645203644.0,32,None,None,1,1.0,True
1645203645.0,32,None,None,1,1.0,True
1645203646.0,32,None,None,1,1.0,True
1645203647.0,32,None,None,1,1.0,True
1645203648.0,32,None,None,1,1.0,True
1645203649.0,32,None,None,1,1.0,True
1645203650.0,32,None,None,1,1.0,True
1645203651.0,32,None,None,1,1.0,True
1645203652.0,32,None,None,1,1.0,True
1645203653.0,32,None,None,1,1.0,True
1645203654.0,32,None,None,1,1.0,True
1645203655.0,32,None,None,1,1.0,True
1645203656.0,32,None,None,1,1.0,True
1645203657.0,32,None,None,1,1.0,True
1645203658.0,32,None,None,1,1.0,True
1645203659.0,32,None,None,1,1.0,True
1645203660.0,32,None,None,1,1.0,True
1645203661.0,32,None,None,1,1.0,True
1645203662.0,32,None,None,1,1.0,True
1645203663.0,32,None,None,1,1.0,True
1645203664.0,32,None,None,1,1.0,True
1645203665.0,32,None,None,1,1.0,True
1645203666.0,32,None,None,1,1.0,True
1645203667.0,32,None,None,1,1.0,True
1645203668.0,32,None,None,1,1.0,True
1645203669.0,32,None,None,1,1.0,True
1645203670.0,32,None,None,1,1.0,True
1645203671.0,32,None,None,1,1.0,True
1645203672.0,32,None,None,1,1.0,True
1645203673.0,32,None,None,1,1.0,True
1645203674.0,32,None,None,1,1.0,True
1645203675.0,32,None,None,1,1.0,True
1645203676.0,32,None,None,1,1.0,True
1645203677.0,32,None,None,1,1.0,True
1645203678.0,32,None,None,1,1.0,True
1645203679.0,32,None,None,1,1.0,True
1645203680.0,32,None,None,1,1.0,True
1645203681.0,32,None,None,1,1.0,True
1645203682.0,32,None,None,1,1.0,True
1645203683.0,32,None,None,1,1.0,True
1645203684.0,32,None,None,1,1.0,True
1645203685.0,32,None,None,1,1.0,True
1645203686.0,32,None,None,1,1.0,True
1645203687.0,32,None,None,1,1.0,True
1645203688.0,32,None,None,1,1.0,True
1645203689.0,32,None,None,1,1.0,True
1645203690.0,32,None,None,1,1.0,True
1645203691.0,32,None,None,1,1.0,True
1645203692.0,32,None,None,1,1.0,True
1645203693.0,32,None,None,1,1.0,True
1645203694.0,32,None,None,1,1.0,True
1645203695.0,32,None,None,1,1.0,True
1645203696.0,32,None,None,1,1.0,True
1645203697.0,32,None,None,1,1.0,True
1645203698.0,32,None,None,1,1.0,True
1645203699.0,32,None,None,1,1.0,True
1645203700.0,32,None,None,1,1.0,True
1645203701.0,32,None,None,1,1.0,True
1645203702.0,32,None,None,1,1.0,True
1645203703.0,32,None,None,1,1.0,True
1645203704.0,32,None,None,1,1.0,True
1645203705.0,32,None,None,1,1.0,True
1645203706.0,32,None,None,1,1.0,True
1645203707.0,32,None,None,1,1.0,True
1645203708.0,32,None,None,1,1.0,True
1645203709.0,32,None,None,1,1.0,True
1645203710.0,32,None,None,1,1.0,True
