label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,7327,7328,1658337736.0,1658337964.0,229,228.0
jelly,7328,13119,5792,1658337965.0,1658338145.0,181,180.0
None,13120,13311,192,1658338146.0,1658338151.0,6,5.0
count,13312,15263,1952,1658338152.0,1658338212.0,61,60.0
None,15264,15711,448,1658338213.0,1658338226.0,14,13.0
good,15712,18783,3072,1658338227.0,1658338322.0,96,95.0
None,18784,19615,832,1658338323.0,1658338348.0,26,25.0
animal,19616,25407,5792,1658338349.0,1658338529.0,181,180.0
None,25408,25535,128,1658338530.0,1658338533.0,4,3.0
stress,25536,39263,13728,1658338534.0,1658338962.0,429,428.0
None,39264,39551,288,1658338963.0,1658338971.0,9,8.0
prepareSong,39552,40447,896,1658338972.0,1658338999.0,28,27.0
None,40448,41471,1024,1658339000.0,1658339031.0,32,31.0
arithmetic,41472,47423,5952,1658339032.0,1658339217.0,186,185.0
None,47424,47551,128,1658339218.0,1658339221.0,4,3.0
bad,47552,51423,3872,1658339222.0,1658339342.0,121,120.0
None,51424,51905,482,1658339343.0,1658339358.0,16,15.0
