label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,12959,12960,1657825828.0,1657826232.0,405,404.0
jelly,12960,18751,5792,1657826233.0,1657826413.0,181,180.0
None,18752,18975,224,1657826414.0,1657826420.0,7,6.0
count,18976,20927,1952,1657826421.0,1657826481.0,61,60.0
None,20928,21215,288,1657826482.0,1657826490.0,9,8.0
good,21216,24607,3392,1657826491.0,1657826596.0,106,105.0
None,24608,25311,704,1657826597.0,1657826618.0,22,21.0
animal,25312,31103,5792,1657826619.0,1657826799.0,181,180.0
None,31104,31231,128,1657826800.0,1657826803.0,4,3.0
stress,31232,44927,13696,1657826804.0,1657827231.0,428,427.0
None,44928,45119,192,1657827232.0,1657827237.0,6,5.0
prepareSong,45120,46111,992,1657827238.0,1657827268.0,31,30.0
None,46112,46975,864,1657827269.0,1657827295.0,27,26.0
arithmetic,46976,53247,6272,1657827296.0,1657827491.0,196,195.0
None,53248,53471,224,1657827492.0,1657827498.0,7,6.0
bad,53472,56767,3296,1657827499.0,1657827601.0,103,102.0
None,56768,57971,1204,1657827602.0,1657827639.0,38,37.0
