time,num_rows,first_label,last_label,unique_labels,delta_from_prev,is_integer_time
1657825828.0,32,None,None,1,,True
1657825829.0,32,None,None,1,1.0,True
1657825830.0,32,None,None,1,1.0,True
1657825831.0,32,None,None,1,1.0,True
1657825832.0,32,None,None,1,1.0,True
1657825833.0,32,None,None,1,1.0,True
1657825834.0,32,None,None,1,1.0,True
1657825835.0,32,None,None,1,1.0,True
1657825836.0,32,None,None,1,1.0,True
1657825837.0,32,None,None,1,1.0,True
1657825838.0,32,None,None,1,1.0,True
1657825839.0,32,None,None,1,1.0,True
1657825840.0,32,None,None,1,1.0,True
1657825841.0,32,None,None,1,1.0,True
1657825842.0,32,None,None,1,1.0,True
1657825843.0,32,None,None,1,1.0,True
1657825844.0,32,None,None,1,1.0,True
1657825845.0,32,None,None,1,1.0,True
1657825846.0,32,None,None,1,1.0,True
1657825847.0,32,None,None,1,1.0,True
1657825848.0,32,None,None,1,1.0,True
1657825849.0,32,None,None,1,1.0,True
1657825850.0,32,None,None,1,1.0,True
1657825851.0,32,None,None,1,1.0,True
1657825852.0,32,None,None,1,1.0,True
1657825853.0,32,None,None,1,1.0,True
1657825854.0,32,None,None,1,1.0,True
1657825855.0,32,None,None,1,1.0,True
1657825856.0,32,None,None,1,1.0,True
1657825857.0,32,None,None,1,1.0,True
1657825858.0,32,None,None,1,1.0,True
1657825859.0,32,None,None,1,1.0,True
1657825860.0,32,None,None,1,1.0,True
1657825861.0,32,None,None,1,1.0,True
1657825862.0,32,None,None,1,1.0,True
1657825863.0,32,None,None,1,1.0,True
1657825864.0,32,None,None,1,1.0,True
1657825865.0,32,None,None,1,1.0,True
1657825866.0,32,None,None,1,1.0,True
1657825867.0,32,None,None,1,1.0,True
1657825868.0,32,None,None,1,1.0,True
1657825869.0,32,None,None,1,1.0,True
1657825870.0,32,None,None,1,1.0,True
1657825871.0,32,None,None,1,1.0,True
1657825872.0,32,None,None,1,1.0,True
1657825873.0,32,None,None,1,1.0,True
1657825874.0,32,None,None,1,1.0,True
1657825875.0,32,None,None,1,1.0,True
1657825876.0,32,None,None,1,1.0,True
1657825877.0,32,None,None,1,1.0,True
1657825878.0,32,None,None,1,1.0,True
1657825879.0,32,None,None,1,1.0,True
1657825880.0,32,None,None,1,1.0,True
1657825881.0,32,None,None,1,1.0,True
1657825882.0,32,None,None,1,1.0,True
1657825883.0,32,None,None,1,1.0,True
1657825884.0,32,None,None,1,1.0,True
1657825885.0,32,None,None,1,1.0,True
1657825886.0,32,None,None,1,1.0,True
1657825887.0,32,None,None,1,1.0,True
1657825888.0,32,None,None,1,1.0,True
1657825889.0,32,None,None,1,1.0,True
1657825890.0,32,None,None,1,1.0,True
1657825891.0,32,None,None,1,1.0,True
1657825892.0,32,None,None,1,1.0,True
1657825893.0,32,None,None,1,1.0,True
1657825894.0,32,None,None,1,1.0,True
1657825895.0,32,None,None,1,1.0,True
1657825896.0,32,None,None,1,1.0,True
1657825897.0,32,None,None,1,1.0,True
1657825898.0,32,None,None,1,1.0,True
1657825899.0,32,None,None,1,1.0,True
1657825900.0,32,None,None,1,1.0,True
1657825901.0,32,None,None,1,1.0,True
1657825902.0,32,None,None,1,1.0,True
1657825903.0,32,None,None,1,1.0,True
1657825904.0,32,None,None,1,1.0,True
1657825905.0,32,None,None,1,1.0,True
1657825906.0,32,None,None,1,1.0,True
1657825907.0,32,None,None,1,1.0,True
1657825908.0,32,None,None,1,1.0,True
1657825909.0,32,None,None,1,1.0,True
1657825910.0,32,None,None,1,1.0,True
1657825911.0,32,None,None,1,1.0,True
1657825912.0,32,None,None,1,1.0,True
1657825913.0,32,None,None,1,1.0,True
1657825914.0,32,None,None,1,1.0,True
1657825915.0,32,None,None,1,1.0,True
1657825916.0,32,None,None,1,1.0,True
1657825917.0,32,None,None,1,1.0,True
1657825918.0,32,None,None,1,1.0,True
1657825919.0,32,None,None,1,1.0,True
1657825920.0,32,None,None,1,1.0,True
1657825921.0,32,None,None,1,1.0,True
1657825922.0,32,None,None,1,1.0,True
1657825923.0,32,None,None,1,1.0,True
1657825924.0,32,None,None,1,1.0,True
1657825925.0,32,None,None,1,1.0,True
1657825926.0,32,None,None,1,1.0,True
1657825927.0,32,None,None,1,1.0,True
1657825928.0,32,None,None,1,1.0,True
1657825929.0,32,None,None,1,1.0,True
1657825930.0,32,None,None,1,1.0,True
1657825931.0,32,None,None,1,1.0,True
1657825932.0,32,None,None,1,1.0,True
1657825933.0,32,None,None,1,1.0,True
1657825934.0,32,None,None,1,1.0,True
1657825935.0,32,None,None,1,1.0,True
1657825936.0,32,None,None,1,1.0,True
1657825937.0,32,None,None,1,1.0,True
1657825938.0,32,None,None,1,1.0,True
1657825939.0,32,None,None,1,1.0,True
1657825940.0,32,None,None,1,1.0,True
1657825941.0,32,None,None,1,1.0,True
1657825942.0,32,None,None,1,1.0,True
1657825943.0,32,None,None,1,1.0,True
1657825944.0,32,None,None,1,1.0,True
1657825945.0,32,None,None,1,1.0,True
1657825946.0,32,None,None,1,1.0,True
1657825947.0,32,None,None,1,1.0,True
1657825948.0,32,None,None,1,1.0,True
1657825949.0,32,None,None,1,1.0,True
1657825950.0,32,None,None,1,1.0,True
1657825951.0,32,None,None,1,1.0,True
1657825952.0,32,None,None,1,1.0,True
1657825953.0,32,None,None,1,1.0,True
1657825954.0,32,None,None,1,1.0,True
1657825955.0,32,None,None,1,1.0,True
1657825956.0,32,None,None,1,1.0,True
1657825957.0,32,None,None,1,1.0,True
1657825958.0,32,None,None,1,1.0,True
1657825959.0,32,None,None,1,1.0,True
1657825960.0,32,None,None,1,1.0,True
1657825961.0,32,None,None,1,1.0,True
1657825962.0,32,None,None,1,1.0,True
1657825963.0,32,None,None,1,1.0,True
1657825964.0,32,None,None,1,1.0,True
1657825965.0,32,None,None,1,1.0,True
1657825966.0,32,None,None,1,1.0,True
1657825967.0,32,None,None,1,1.0,True
1657825968.0,32,None,None,1,1.0,True
1657825969.0,32,None,None,1,1.0,True
1657825970.0,32,None,None,1,1.0,True
1657825971.0,32,None,None,1,1.0,True
1657825972.0,32,None,None,1,1.0,True
1657825973.0,32,None,None,1,1.0,True
1657825974.0,32,None,None,1,1.0,True
1657825975.0,32,None,None,1,1.0,True
1657825976.0,32,None,None,1,1.0,True
1657825977.0,32,None,None,1,1.0,True
1657825978.0,32,None,None,1,1.0,True
1657825979.0,32,None,None,1,1.0,True
1657825980.0,32,None,None,1,1.0,True
1657825981.0,32,None,None,1,1.0,True
1657825982.0,32,None,None,1,1.0,True
1657825983.0,32,None,None,1,1.0,True
1657825984.0,32,None,None,1,1.0,True
1657825985.0,32,None,None,1,1.0,True
1657825986.0,32,None,None,1,1.0,True
1657825987.0,32,None,None,1,1.0,True
1657825988.0,32,None,None,1,1.0,True
1657825989.0,32,None,None,1,1.0,True
1657825990.0,32,None,None,1,1.0,True
1657825991.0,32,None,None,1,1.0,True
1657825992.0,32,None,None,1,1.0,True
1657825993.0,32,None,None,1,1.0,True
1657825994.0,32,None,None,1,1.0,True
1657825995.0,32,None,None,1,1.0,True
1657825996.0,32,None,None,1,1.0,True
1657825997.0,32,None,None,1,1.0,True
1657825998.0,32,None,None,1,1.0,True
1657825999.0,32,None,None,1,1.0,True
1657826000.0,32,None,None,1,1.0,True
1657826001.0,32,None,None,1,1.0,True
1657826002.0,32,None,None,1,1.0,True
1657826003.0,32,None,None,1,1.0,True
1657826004.0,32,None,None,1,1.0,True
1657826005.0,32,None,None,1,1.0,True
1657826006.0,32,None,None,1,1.0,True
1657826007.0,32,None,None,1,1.0,True
1657826008.0,32,None,None,1,1.0,True
1657826009.0,32,None,None,1,1.0,True
1657826010.0,32,None,None,1,1.0,True
1657826011.0,32,None,None,1,1.0,True
1657826012.0,32,None,None,1,1.0,True
1657826013.0,32,None,None,1,1.0,True
1657826014.0,32,None,None,1,1.0,True
1657826015.0,32,None,None,1,1.0,True
1657826016.0,32,None,None,1,1.0,True
1657826017.0,32,None,None,1,1.0,True
1657826018.0,32,None,None,1,1.0,True
1657826019.0,32,None,None,1,1.0,True
1657826020.0,32,None,None,1,1.0,True
1657826021.0,32,None,None,1,1.0,True
