label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,7519,7520,1664218764.0,1664218998.0,235,234.0
jelly,7520,13247,5728,1664218999.0,1664219177.0,179,178.0
None,13248,13535,288,1664219178.0,1664219186.0,9,8.0
count,13536,15487,1952,1664219187.0,1664219247.0,61,60.0
None,15488,15807,320,1664219248.0,1664219257.0,10,9.0
good,15808,19391,3584,1664219258.0,1664219369.0,112,111.0
None,19392,19743,352,1664219370.0,1664219380.0,11,10.0
animal,19744,25535,5792,1664219381.0,1664219561.0,181,180.0
None,25536,25663,128,1664219562.0,1664219565.0,4,3.0
stress,25664,39391,13728,1664219566.0,1664219994.0,429,428.0
None,39392,39615,224,1664219995.0,1664220001.0,7,6.0
prepareSong,39616,40607,992,1664220002.0,1664220032.0,31,30.0
None,40608,41759,1152,1664220033.0,1664220068.0,36,35.0
arithmetic,41760,47391,5632,1664220069.0,1664220244.0,176,175.0
None,47392,47999,608,1664220245.0,1664220263.0,19,18.0
bad,48000,51551,3552,1664220264.0,1664220374.0,111,110.0
None,51552,51905,354,1664220375.0,1664220386.0,12,11.0
