time,num_rows,first_label,last_label,unique_labels,delta_from_prev,is_integer_time
1664218764.0,32,None,None,1,,True
1664218765.0,32,None,None,1,1.0,True
1664218766.0,32,None,None,1,1.0,True
1664218767.0,32,None,None,1,1.0,True
1664218768.0,32,None,None,1,1.0,True
1664218769.0,32,None,None,1,1.0,True
1664218770.0,32,None,None,1,1.0,True
1664218771.0,32,None,None,1,1.0,True
1664218772.0,32,None,None,1,1.0,True
1664218773.0,32,None,None,1,1.0,True
1664218774.0,32,None,None,1,1.0,True
1664218775.0,32,None,None,1,1.0,True
1664218776.0,32,None,None,1,1.0,True
1664218777.0,32,None,None,1,1.0,True
1664218778.0,32,None,None,1,1.0,True
1664218779.0,32,None,None,1,1.0,True
1664218780.0,32,None,None,1,1.0,True
1664218781.0,32,None,None,1,1.0,True
1664218782.0,32,None,None,1,1.0,True
1664218783.0,32,None,None,1,1.0,True
1664218784.0,32,None,None,1,1.0,True
1664218785.0,32,None,None,1,1.0,True
1664218786.0,32,None,None,1,1.0,True
1664218787.0,32,None,None,1,1.0,True
1664218788.0,32,None,None,1,1.0,True
1664218789.0,32,None,None,1,1.0,True
1664218790.0,32,None,None,1,1.0,True
1664218791.0,32,None,None,1,1.0,True
1664218792.0,32,None,None,1,1.0,True
1664218793.0,32,None,None,1,1.0,True
1664218794.0,32,None,None,1,1.0,True
1664218795.0,32,None,None,1,1.0,True
1664218796.0,32,None,None,1,1.0,True
1664218797.0,32,None,None,1,1.0,True
1664218798.0,32,None,None,1,1.0,True
1664218799.0,32,None,None,1,1.0,True
1664218800.0,32,None,None,1,1.0,True
1664218801.0,32,None,None,1,1.0,True
1664218802.0,32,None,None,1,1.0,True
1664218803.0,32,None,None,1,1.0,True
1664218804.0,32,None,None,1,1.0,True
1664218805.0,32,None,None,1,1.0,True
1664218806.0,32,None,None,1,1.0,True
1664218807.0,32,None,None,1,1.0,True
1664218808.0,32,None,None,1,1.0,True
1664218809.0,32,None,None,1,1.0,True
1664218810.0,32,None,None,1,1.0,True
1664218811.0,32,None,None,1,1.0,True
1664218812.0,32,None,None,1,1.0,True
1664218813.0,32,None,None,1,1.0,True
1664218814.0,32,None,None,1,1.0,True
1664218815.0,32,None,None,1,1.0,True
1664218816.0,32,None,None,1,1.0,True
1664218817.0,32,None,None,1,1.0,True
1664218818.0,32,None,None,1,1.0,True
1664218819.0,32,None,None,1,1.0,True
1664218820.0,32,None,None,1,1.0,True
1664218821.0,32,None,None,1,1.0,True
1664218822.0,32,None,None,1,1.0,True
1664218823.0,32,None,None,1,1.0,True
1664218824.0,32,None,None,1,1.0,True
1664218825.0,32,None,None,1,1.0,True
1664218826.0,32,None,None,1,1.0,True
1664218827.0,32,None,None,1,1.0,True
1664218828.0,32,None,None,1,1.0,True
1664218829.0,32,None,None,1,1.0,True
1664218830.0,32,None,None,1,1.0,True
1664218831.0,32,None,None,1,1.0,True
1664218832.0,32,None,None,1,1.0,True
1664218833.0,32,None,None,1,1.0,True
1664218834.0,32,None,None,1,1.0,True
1664218835.0,32,None,None,1,1.0,True
1664218836.0,32,None,None,1,1.0,True
1664218837.0,32,None,None,1,1.0,True
1664218838.0,32,None,None,1,1.0,True
1664218839.0,32,None,None,1,1.0,True
1664218840.0,32,None,None,1,1.0,True
1664218841.0,32,None,None,1,1.0,True
1664218842.0,32,None,None,1,1.0,True
1664218843.0,32,None,None,1,1.0,True
1664218844.0,32,None,None,1,1.0,True
1664218845.0,32,None,None,1,1.0,True
1664218846.0,32,None,None,1,1.0,True
1664218847.0,32,None,None,1,1.0,True
1664218848.0,32,None,None,1,1.0,True
1664218849.0,32,None,None,1,1.0,True
1664218850.0,32,None,None,1,1.0,True
1664218851.0,32,None,None,1,1.0,True
1664218852.0,32,None,None,1,1.0,True
1664218853.0,32,None,None,1,1.0,True
1664218854.0,32,None,None,1,1.0,True
1664218855.0,32,None,None,1,1.0,True
1664218856.0,32,None,None,1,1.0,True
1664218857.0,32,None,None,1,1.0,True
1664218858.0,32,None,None,1,1.0,True
1664218859.0,32,None,None,1,1.0,True
1664218860.0,32,None,None,1,1.0,True
1664218861.0,32,None,None,1,1.0,True
1664218862.0,32,None,None,1,1.0,True
1664218863.0,32,None,None,1,1.0,True
1664218864.0,32,None,None,1,1.0,True
1664218865.0,32,None,None,1,1.0,True
1664218866.0,32,None,None,1,1.0,True
1664218867.0,32,None,None,1,1.0,True
1664218868.0,32,None,None,1,1.0,True
1664218869.0,32,None,None,1,1.0,True
1664218870.0,32,None,None,1,1.0,True
1664218871.0,32,None,None,1,1.0,True
1664218872.0,32,None,None,1,1.0,True
1664218873.0,32,None,None,1,1.0,True
1664218874.0,32,None,None,1,1.0,True
1664218875.0,32,None,None,1,1.0,True
1664218876.0,32,None,None,1,1.0,True
1664218877.0,32,None,None,1,1.0,True
1664218878.0,32,None,None,1,1.0,True
1664218879.0,32,None,None,1,1.0,True
1664218880.0,32,None,None,1,1.0,True
1664218881.0,32,None,None,1,1.0,True
1664218882.0,32,None,None,1,1.0,True
1664218883.0,32,None,None,1,1.0,True
1664218884.0,32,None,None,1,1.0,True
1664218885.0,32,None,None,1,1.0,True
1664218886.0,32,None,None,1,1.0,True
1664218887.0,32,None,None,1,1.0,True
1664218888.0,32,None,None,1,1.0,True
1664218889.0,32,None,None,1,1.0,True
1664218890.0,32,None,None,1,1.0,True
1664218891.0,32,None,None,1,1.0,True
1664218892.0,32,None,None,1,1.0,True
1664218893.0,32,None,None,1,1.0,True
1664218894.0,32,None,None,1,1.0,True
1664218895.0,32,None,None,1,1.0,True
1664218896.0,32,None,None,1,1.0,True
1664218897.0,32,None,None,1,1.0,True
1664218898.0,32,None,None,1,1.0,True
1664218899.0,32,None,None,1,1.0,True
1664218900.0,32,None,None,1,1.0,True
1664218901.0,32,None,None,1,1.0,True
1664218902.0,32,None,None,1,1.0,True
1664218903.0,32,None,None,1,1.0,True
1664218904.0,32,None,None,1,1.0,True
1664218905.0,32,None,None,1,1.0,True
1664218906.0,32,None,None,1,1.0,True
1664218907.0,32,None,None,1,1.0,True
1664218908.0,32,None,None,1,1.0,True
1664218909.0,32,None,None,1,1.0,True
1664218910.0,32,None,None,1,1.0,True
1664218911.0,32,None,None,1,1.0,True
1664218912.0,32,None,None,1,1.0,True
1664218913.0,32,None,None,1,1.0,True
1664218914.0,32,None,None,1,1.0,True
1664218915.0,32,None,None,1,1.0,True
1664218916.0,32,None,None,1,1.0,True
1664218917.0,32,None,None,1,1.0,True
1664218918.0,32,None,None,1,1.0,True
1664218919.0,32,None,None,1,1.0,True
1664218920.0,32,None,None,1,1.0,True
1664218921.0,32,None,None,1,1.0,True
1664218922.0,32,None,None,1,1.0,True
1664218923.0,32,None,None,1,1.0,True
1664218924.0,32,None,None,1,1.0,True
1664218925.0,32,None,None,1,1.0,True
1664218926.0,32,None,None,1,1.0,True
1664218927.0,32,None,None,1,1.0,True
1664218928.0,32,None,None,1,1.0,True
1664218929.0,32,None,None,1,1.0,True
1664218930.0,32,None,None,1,1.0,True
1664218931.0,32,None,None,1,1.0,True
1664218932.0,32,None,None,1,1.0,True
1664218933.0,32,None,None,1,1.0,True
1664218934.0,32,None,None,1,1.0,True
1664218935.0,32,None,None,1,1.0,True
1664218936.0,32,None,None,1,1.0,True
1664218937.0,32,None,None,1,1.0,True
1664218938.0,32,None,None,1,1.0,True
