label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,5567,5568,1644964260.0,1644964433.0,174,173.0
jelly,5568,10623,5056,1644964434.0,1644964591.0,158,157.0
None,10624,10783,160,1644964592.0,1644964596.0,5,4.0
count,10784,12767,1984,1644964597.0,1644964658.0,62,61.0
None,12768,13055,288,1644964659.0,1644964667.0,9,8.0
good,13056,16671,3616,1644964668.0,1644964780.0,113,112.0
None,16672,17119,448,1644964781.0,1644964794.0,14,13.0
animal,17120,22943,5824,1644964795.0,1644964976.0,182,181.0
None,22944,23007,64,1644964977.0,1644964978.0,2,1.0
stress,23008,36767,13760,1644964979.0,1644965408.0,430,429.0
None,36768,39167,2400,1644965409.0,1644965483.0,75,74.0
prepareSong,39168,40191,1024,1644965484.0,1644965515.0,32,31.0
None,40192,41247,1056,1644965516.0,1644965548.0,33,32.0
arithmetic,41248,47071,5824,1644965549.0,1644965730.0,182,181.0
None,47072,47327,256,1644965731.0,1644965738.0,8,7.0
bad,47328,51071,3744,1644965739.0,1644965855.0,117,116.0
None,51072,51671,600,1644965856.0,1644965874.0,19,18.0
