label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,11775,11776,1663009816.0,1663010183.0,368,367.0
jelly,11776,17567,5792,1663010184.0,1663010364.0,181,180.0
None,17568,17855,288,1663010365.0,1663010373.0,9,8.0
count,17856,19807,1952,1663010374.0,1663010434.0,61,60.0
None,19808,20095,288,1663010435.0,1663010443.0,9,8.0
good,20096,23807,3712,1663010444.0,1663010559.0,116,115.0
None,23808,24127,320,1663010560.0,1663010569.0,10,9.0
animal,24128,29919,5792,1663010570.0,1663010750.0,181,180.0
None,29920,30015,96,1663010751.0,1663010753.0,3,2.0
stress,30016,37599,7584,1663010754.0,1663010990.0,237,236.0
None,37600,38815,1216,1663010991.0,1663011028.0,38,37.0
prepareSong,38816,39807,992,1663011029.0,1663011059.0,31,30.0
None,39808,40895,1088,1663011060.0,1663011093.0,34,33.0
arithmetic,40896,46687,5792,1663011094.0,1663011274.0,181,180.0
None,46688,46975,288,1663011275.0,1663011283.0,9,8.0
bad,46976,50687,3712,1663011284.0,1663011399.0,116,115.0
None,50688,51107,420,1663011400.0,1663011413.0,14,13.0
