label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,3679,3680,1664890485.0,1664890599.0,115,114.0
jelly,3680,9471,5792,1664890600.0,1664890780.0,181,180.0
None,9472,9695,224,1664890781.0,1664890787.0,7,6.0
count,9696,11615,1920,1664890788.0,1664890847.0,60,59.0
None,11616,11839,224,1664890848.0,1664890854.0,7,6.0
good,11840,15231,3392,1664890855.0,1664890960.0,106,105.0
None,15232,15999,768,1664890961.0,1664890984.0,24,23.0
animal,16000,21791,5792,1664890985.0,1664891165.0,181,180.0
None,21792,21887,96,1664891166.0,1664891168.0,3,2.0
stress,21888,35615,13728,1664891169.0,1664891597.0,429,428.0
None,35616,35839,224,1664891598.0,1664891604.0,7,6.0
prepareSong,35840,36831,992,1664891605.0,1664891635.0,31,30.0
None,36832,39135,2304,1664891636.0,1664891707.0,72,71.0
arithmetic,39136,43647,4512,1664891708.0,1664891848.0,141,140.0
None,43648,43935,288,1664891849.0,1664891857.0,9,8.0
bad,43936,47647,3712,1664891858.0,1664891973.0,116,115.0
None,47648,48155,508,1664891974.0,1664891989.0,16,15.0
