label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,3871,3872,1644091659.0,1644091779.0,121,120.0
jelly,3872,9471,5600,1644091780.0,1644091954.0,175,174.0
None,9472,11679,2208,1644091955.0,1644092023.0,69,68.0
count,11680,13567,1888,1644092024.0,1644092082.0,59,58.0
None,13568,13727,160,1644092083.0,1644092087.0,5,4.0
good,13728,17631,3904,1644092088.0,1644092209.0,122,121.0
None,17632,19359,1728,1644092210.0,1644092263.0,54,53.0
animal,19360,25183,5824,1644092264.0,1644092445.0,182,181.0
stress,25184,41279,16096,1644092446.0,1644092948.0,503,502.0
None,41280,41535,256,1644092949.0,1644092956.0,8,7.0
prepareSong,41536,42463,928,1644092957.0,1644092985.0,29,28.0
None,42464,43359,896,1644092986.0,1644093013.0,28,27.0
arithmetic,43360,49375,6016,1644093014.0,1644093201.0,188,187.0
None,49376,49631,256,1644093202.0,1644093209.0,8,7.0
bad,49632,53439,3808,1644093210.0,1644093328.0,119,118.0
None,53440,54095,656,1644093329.0,1644093349.0,21,20.0
