label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,2207,2208,1644248084.0,1644248152.0,69,68.0
jelly,2208,8031,5824,1644248153.0,1644248334.0,182,181.0
None,8032,8223,192,1644248335.0,1644248340.0,6,5.0
count,8224,10207,1984,1644248341.0,1644248402.0,62,61.0
None,10208,10463,256,1644248403.0,1644248410.0,8,7.0
good,10464,14367,3904,1644248411.0,1644248532.0,122,121.0
None,14368,14527,160,1644248533.0,1644248537.0,5,4.0
animal,14528,20351,5824,1644248538.0,1644248719.0,182,181.0
None,20352,20447,96,1644248720.0,1644248722.0,3,2.0
stress,20448,34207,13760,1644248723.0,1644249152.0,430,429.0
None,34208,34367,160,1644249153.0,1644249157.0,5,4.0
prepareSong,34368,35391,1024,1644249158.0,1644249189.0,32,31.0
None,35392,37247,1856,1644249190.0,1644249247.0,58,57.0
arithmetic,37248,42271,5024,1644249248.0,1644249404.0,157,156.0
None,42272,42527,256,1644249405.0,1644249412.0,8,7.0
bad,42528,46431,3904,1644249413.0,1644249534.0,122,121.0
None,46432,46949,518,1644249535.0,1644249551.0,17,16.0
