label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,11775,11776,1689798463.0,1689798830.0,368,367.0
jelly,11776,15887,4112,1689798831.0,1689798959.0,129,128.0
None,15888,16527,640,1689799047.0,1689799066.0,20,19.0
baseline,16528,19311,2784,1689799067.0,1689799153.0,87,86.0
None,19312,20847,1536,1689799154.0,1689799201.0,48,47.0
count,20848,22799,1952,1689799202.0,1689799262.0,61,60.0
None,22800,23759,960,1689799263.0,1689799292.0,30,29.0
good,23760,26671,2912,1689799293.0,1689799383.0,91,90.0
None,26672,27663,992,1689799384.0,1689799414.0,31,30.0
animal,27664,33455,5792,1689799415.0,1689799595.0,181,180.0
None,33456,34479,1024,1689799596.0,1689799627.0,32,31.0
stroop,34480,39311,4832,1689799628.0,1689799778.0,151,150.0
None,39312,42703,3392,1689799779.0,1689799884.0,106,105.0
prepareSong,42704,43695,992,1689799885.0,1689799915.0,31,30.0
None,43696,48079,4384,1689799916.0,1689800052.0,137,136.0
arithmetic,48080,52431,4352,1689800053.0,1689800188.0,136,135.0
None,52432,52975,544,1689800189.0,1689800205.0,17,16.0
stress,52976,62735,9760,1689800206.0,1689800510.0,305,304.0
None,62736,63887,1152,1689800511.0,1689800546.0,36,35.0
bad,63888,67151,3264,1689800547.0,1689800648.0,102,101.0
None,67152,76103,8952,1689800649.0,1689800928.0,280,279.0
