label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,927,928,1658341881.0,1658341909.0,29,28.0
jelly,928,6559,5632,1658341910.0,1658342085.0,176,175.0
None,6560,6879,320,1658342086.0,1658342095.0,10,9.0
count,6880,8735,1856,1658342096.0,1658342153.0,58,57.0
None,8736,8959,224,1658342154.0,1658342160.0,7,6.0
good,8960,12831,3872,1658342161.0,1658342281.0,121,120.0
None,12832,13119,288,1658342282.0,1658342290.0,9,8.0
animal,13120,18911,5792,1658342291.0,1658342471.0,181,180.0
None,18912,19007,96,1658342472.0,1658342474.0,3,2.0
stress,19008,32735,13728,1658342475.0,1658342903.0,429,428.0
None,32736,33119,384,1658342904.0,1658342915.0,12,11.0
prepareSong,33120,33951,832,1658342916.0,1658342941.0,26,25.0
None,33952,35359,1408,1658342942.0,1658342985.0,44,43.0
arithmetic,35360,40831,5472,1658342986.0,1658343156.0,171,170.0
None,40832,41119,288,1658343157.0,1658343165.0,9,8.0
bad,41120,44735,3616,1658343166.0,1658343278.0,113,112.0
None,44736,45599,864,1658343279.0,1658343305.0,27,26.0
