label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,2687,2688,1644253345.0,1644253428.0,84,83.0
jelly,2688,7775,5088,1644253429.0,1644253587.0,159,158.0
None,7776,8063,288,1644253588.0,1644253596.0,9,8.0
count,8064,9951,1888,1644253597.0,1644253655.0,59,58.0
None,9952,10271,320,1644253656.0,1644253665.0,10,9.0
good,10272,14015,3744,1644253666.0,1644253782.0,117,116.0
None,14016,14271,256,1644253783.0,1644253790.0,8,7.0
animal,14272,20095,5824,1644253791.0,1644253972.0,182,181.0
None,20096,20159,64,1644253973.0,1644253974.0,2,1.0
stress,20160,35935,15776,1644253975.0,1644254467.0,493,492.0
None,35936,36351,416,1644254468.0,1644254480.0,13,12.0
prepareSong,36352,37375,1024,1644254481.0,1644254512.0,32,31.0
None,37376,38431,1056,1644254513.0,1644254545.0,33,32.0
arithmetic,38432,44095,5664,1644254546.0,1644254722.0,177,176.0
None,44096,44351,256,1644254723.0,1644254730.0,8,7.0
bad,44352,47455,3104,1644254731.0,1644254827.0,97,96.0
None,47456,48695,1240,1644254828.0,1644254866.0,39,38.0
