label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,3743,3744,1657564377.0,1657564493.0,117,116.0
jelly,3744,9535,5792,1657564494.0,1657564674.0,181,180.0
None,9536,9791,256,1657564675.0,1657564682.0,8,7.0
count,9792,11743,1952,1657564683.0,1657564743.0,61,60.0
None,11744,12031,288,1657564744.0,1657564752.0,9,8.0
good,12032,15583,3552,1657564753.0,1657564863.0,111,110.0
None,15584,16063,480,1657564864.0,1657564878.0,15,14.0
animal,16064,21855,5792,1657564879.0,1657565059.0,181,180.0
None,21856,21983,128,1657565060.0,1657565063.0,4,3.0
stress,21984,35679,13696,1657565064.0,1657565491.0,428,427.0
None,35680,35871,192,1657565492.0,1657565497.0,6,5.0
prepareSong,35872,36863,992,1657565498.0,1657565528.0,31,30.0
None,36864,37951,1088,1657565529.0,1657565562.0,34,33.0
arithmetic,37952,43743,5792,1657565563.0,1657565743.0,181,180.0
None,43744,44351,608,1657565744.0,1657565762.0,19,18.0
bad,44352,47903,3552,1657565763.0,1657565873.0,111,110.0
None,47904,48071,168,1657565874.0,1657565879.0,6,5.0
