time,num_rows,first_label,last_label,unique_labels,delta_from_prev,is_integer_time
1676467185.0,32,None,None,1,,True
1676467186.0,32,None,None,1,1.0,True
1676467187.0,32,None,None,1,1.0,True
1676467188.0,32,None,None,1,1.0,True
1676467189.0,32,None,None,1,1.0,True
1676467190.0,32,None,None,1,1.0,True
1676467191.0,32,None,None,1,1.0,True
1676467192.0,32,None,None,1,1.0,True
1676467193.0,32,None,None,1,1.0,True
1676467194.0,32,None,None,1,1.0,True
1676467195.0,32,None,None,1,1.0,True
1676467196.0,32,None,None,1,1.0,True
1676467197.0,32,None,None,1,1.0,True
1676467198.0,32,None,None,1,1.0,True
1676467199.0,32,None,None,1,1.0,True
1676467200.0,32,None,None,1,1.0,True
1676467201.0,32,None,None,1,1.0,True
1676467202.0,32,None,None,1,1.0,True
1676467203.0,32,None,None,1,1.0,True
1676467204.0,32,None,None,1,1.0,True
1676467205.0,32,None,None,1,1.0,True
1676467206.0,32,None,None,1,1.0,True
1676467207.0,32,None,None,1,1.0,True
1676467208.0,32,None,None,1,1.0,True
1676467209.0,32,None,None,1,1.0,True
1676467210.0,32,None,None,1,1.0,True
1676467211.0,32,None,None,1,1.0,True
1676467212.0,32,None,None,1,1.0,True
1676467213.0,32,None,None,1,1.0,True
1676467214.0,32,None,None,1,1.0,True
1676467215.0,32,None,None,1,1.0,True
1676467216.0,32,None,None,1,1.0,True
1676467217.0,32,None,None,1,1.0,True
1676467218.0,32,None,None,1,1.0,True
1676467219.0,32,None,None,1,1.0,True
1676467220.0,32,None,None,1,1.0,True
1676467221.0,32,None,None,1,1.0,True
1676467222.0,32,None,None,1,1.0,True
1676467223.0,32,None,None,1,1.0,True
1676467224.0,32,None,None,1,1.0,True
1676467225.0,32,None,None,1,1.0,True
1676467226.0,32,None,None,1,1.0,True
1676467227.0,32,None,None,1,1.0,True
1676467228.0,32,None,None,1,1.0,True
1676467229.0,32,None,None,1,1.0,True
1676467230.0,32,None,None,1,1.0,True
1676467231.0,32,None,None,1,1.0,True
1676467232.0,32,None,None,1,1.0,True
1676467233.0,32,None,None,1,1.0,True
1676467234.0,32,None,None,1,1.0,True
1676467235.0,32,None,None,1,1.0,True
1676467236.0,32,None,None,1,1.0,True
1676467237.0,32,None,None,1,1.0,True
1676467238.0,32,None,None,1,1.0,True
1676467239.0,32,None,None,1,1.0,True
1676467240.0,32,None,None,1,1.0,True
1676467241.0,32,None,None,1,1.0,True
1676467242.0,32,None,None,1,1.0,True
1676467243.0,32,None,None,1,1.0,True
1676467244.0,32,None,None,1,1.0,True
1676467245.0,32,None,None,1,1.0,True
1676467246.0,32,None,None,1,1.0,True
1676467247.0,32,None,None,1,1.0,True
1676467248.0,32,None,None,1,1.0,True
1676467249.0,32,None,None,1,1.0,True
1676467250.0,32,None,None,1,1.0,True
1676467251.0,32,None,None,1,1.0,True
1676467252.0,32,None,None,1,1.0,True
1676467253.0,32,None,None,1,1.0,True
1676467254.0,32,None,None,1,1.0,True
1676467255.0,32,None,None,1,1.0,True
1676467256.0,32,None,None,1,1.0,True
1676467257.0,32,None,None,1,1.0,True
1676467258.0,32,None,None,1,1.0,True
1676467259.0,32,None,None,1,1.0,True
1676467260.0,32,None,None,1,1.0,True
1676467261.0,32,None,None,1,1.0,True
1676467262.0,32,None,None,1,1.0,True
1676467263.0,32,None,None,1,1.0,True
1676467264.0,32,None,None,1,1.0,True
1676467265.0,32,None,None,1,1.0,True
1676467266.0,32,None,None,1,1.0,True
1676467267.0,32,None,None,1,1.0,True
1676467268.0,32,None,None,1,1.0,True
1676467269.0,32,None,None,1,1.0,True
1676467270.0,32,None,None,1,1.0,True
1676467271.0,32,None,None,1,1.0,True
1676467272.0,32,None,None,1,1.0,True
1676467273.0,32,None,None,1,1.0,True
1676467274.0,32,None,None,1,1.0,True
1676467275.0,32,None,None,1,1.0,True
1676467276.0,32,None,None,1,1.0,True
1676467277.0,32,None,None,1,1.0,True
1676467278.0,32,None,None,1,1.0,True
1676467279.0,32,None,None,1,1.0,True
1676467280.0,32,None,None,1,1.0,True
1676467281.0,32,None,None,1,1.0,True
1676467282.0,32,None,None,1,1.0,True
1676467283.0,32,None,None,1,1.0,True
1676467284.0,32,None,None,1,1.0,True
1676467285.0,32,None,None,1,1.0,True
1676467286.0,32,None,None,1,1.0,True
1676467287.0,32,None,None,1,1.0,True
1676467288.0,32,None,None,1,1.0,True
1676467289.0,32,None,None,1,1.0,True
1676467290.0,32,None,None,1,1.0,True
1676467291.0,32,None,None,1,1.0,True
1676467292.0,32,None,None,1,1.0,True
1676467293.0,32,None,None,1,1.0,True
1676467294.0,32,None,None,1,1.0,True
1676467295.0,32,None,None,1,1.0,True
1676467296.0,32,None,None,1,1.0,True
1676467297.0,32,None,None,1,1.0,True
1676467298.0,32,None,None,1,1.0,True
1676467299.0,32,None,None,1,1.0,True
1676467300.0,32,None,None,1,1.0,True
1676467301.0,32,None,None,1,1.0,True
1676467302.0,32,None,None,1,1.0,True
1676467303.0,32,None,None,1,1.0,True
1676467304.0,32,None,None,1,1.0,True
1676467305.0,32,None,None,1,1.0,True
1676467306.0,32,None,None,1,1.0,True
1676467307.0,32,None,None,1,1.0,True
1676467308.0,32,None,None,1,1.0,True
1676467309.0,32,None,None,1,1.0,True
1676467310.0,32,None,None,1,1.0,True
1676467311.0,32,None,None,1,1.0,True
1676467312.0,32,None,None,1,1.0,True
1676467313.0,32,None,None,1,1.0,True
1676467314.0,32,None,None,1,1.0,True
1676467315.0,32,None,None,1,1.0,True
1676467316.0,32,None,None,1,1.0,True
1676467317.0,32,None,None,1,1.0,True
1676467318.0,32,None,None,1,1.0,True
1676467319.0,32,None,None,1,1.0,True
1676467320.0,32,None,None,1,1.0,True
1676467321.0,32,None,None,1,1.0,True
1676467322.0,32,None,None,1,1.0,True
1676467323.0,32,None,None,1,1.0,True
1676467324.0,32,None,None,1,1.0,True
1676467325.0,32,None,None,1,1.0,True
1676467326.0,32,None,None,1,1.0,True
1676467327.0,32,None,None,1,1.0,True
1676467328.0,32,None,None,1,1.0,True
1676467329.0,32,None,None,1,1.0,True
1676467330.0,32,None,None,1,1.0,True
1676467331.0,32,None,None,1,1.0,True
1676467332.0,32,None,None,1,1.0,True
1676467333.0,32,None,None,1,1.0,True
1676467334.0,32,None,None,1,1.0,True
1676467335.0,32,None,None,1,1.0,True
1676467336.0,32,None,None,1,1.0,True
1676467337.0,32,None,None,1,1.0,True
1676467338.0,32,None,None,1,1.0,True
1676467339.0,32,None,None,1,1.0,True
1676467340.0,32,None,None,1,1.0,True
1676467341.0,32,None,None,1,1.0,True
1676467342.0,32,None,None,1,1.0,True
1676467343.0,32,None,None,1,1.0,True
1676467344.0,32,None,None,1,1.0,True
1676467345.0,32,None,None,1,1.0,True
1676467346.0,32,None,None,1,1.0,True
1676467347.0,32,None,None,1,1.0,True
1676467348.0,32,None,None,1,1.0,True
1676467349.0,32,None,None,1,1.0,True
1676467350.0,32,None,None,1,1.0,True
1676467351.0,32,None,None,1,1.0,True
1676467352.0,32,None,None,1,1.0,True
1676467353.0,32,None,None,1,1.0,True
1676467354.0,32,None,None,1,1.0,True
1676467355.0,32,None,None,1,1.0,True
1676467356.0,32,None,None,1,1.0,True
1676467357.0,32,None,None,1,1.0,True
1676467358.0,32,None,None,1,1.0,True
1676467359.0,32,None,None,1,1.0,True
1676467360.0,32,None,None,1,1.0,True
1676467361.0,32,None,None,1,1.0,True
1676467362.0,32,None,None,1,1.0,True
1676467363.0,32,None,None,1,1.0,True
1676467364.0,32,None,None,1,1.0,True
1676467365.0,32,None,None,1,1.0,True
1676467366.0,32,None,None,1,1.0,True
1676467367.0,32,None,None,1,1.0,True
1676467368.0,32,None,None,1,1.0,True
1676467369.0,32,None,None,1,1.0,True
1676467370.0,32,None,None,1,1.0,True
1676467371.0,32,None,None,1,1.0,True
1676467372.0,32,None,None,1,1.0,True
1676467373.0,32,None,None,1,1.0,True
1676467374.0,32,None,None,1,1.0,True
1676467375.0,32,None,None,1,1.0,True
1676467376.0,32,None,None,1,1.0,True
1676467377.0,32,None,None,1,1.0,True
1676467378.0,32,None,None,1,1.0,True
1676467379.0,32,None,None,1,1.0,True
1676467380.0,32,None,None,1,1.0,True
1676467381.0,32,None,None,1,1.0,True
1676467382.0,32,None,None,1,1.0,True
1676467383.0,32,None,None,1,1.0,True
1676467384.0,32,None,None,1,1.0,True
1676467385.0,32,None,None,1,1.0,True
1676467386.0,32,None,None,1,1.0,True
1676467387.0,32,None,None,1,1.0,True
1676467388.0,32,None,None,1,1.0,True
1676467389.0,32,None,None,1,1.0,True
1676467390.0,32,None,None,1,1.0,True
1676467391.0,32,None,None,1,1.0,True
1676467392.0,32,None,None,1,1.0,True
1676467393.0,32,None,None,1,1.0,True
1676467394.0,32,None,None,1,1.0,True
1676467395.0,32,None,None,1,1.0,True
1676467396.0,32,None,None,1,1.0,True
1676467397.0,32,None,None,1,1.0,True
1676467398.0,32,None,None,1,1.0,True
1676467399.0,32,None,None,1,1.0,True
1676467400.0,32,None,None,1,1.0,True
1676467401.0,32,None,None,1,1.0,True
1676467402.0,32,None,None,1,1.0,True
1676467403.0,32,None,None,1,1.0,True
1676467404.0,32,None,None,1,1.0,True
1676467405.0,32,None,None,1,1.0,True
1676467406.0,32,None,None,1,1.0,True
1676467407.0,32,None,None,1,1.0,True
1676467408.0,32,None,None,1,1.0,True
1676467409.0,32,None,None,1,1.0,True
1676467410.0,32,None,None,1,1.0,True
