time,num_rows,first_label,last_label,unique_labels,delta_from_prev,is_integer_time
1676379537.0,32,None,None,1,,True
1676379538.0,32,None,None,1,1.0,True
1676379539.0,32,None,None,1,1.0,True
1676379540.0,32,None,None,1,1.0,True
1676379541.0,32,None,None,1,1.0,True
1676379542.0,32,None,None,1,1.0,True
1676379543.0,32,None,None,1,1.0,True
1676379544.0,32,None,None,1,1.0,True
1676379545.0,32,None,None,1,1.0,True
1676379546.0,32,None,None,1,1.0,True
1676379547.0,32,None,None,1,1.0,True
1676379548.0,32,None,None,1,1.0,True
1676379549.0,32,None,None,1,1.0,True
1676379550.0,32,None,None,1,1.0,True
1676379551.0,32,None,None,1,1.0,True
1676379552.0,32,None,None,1,1.0,True
1676379553.0,32,None,None,1,1.0,True
1676379554.0,32,None,None,1,1.0,True
1676379555.0,32,None,None,1,1.0,True
1676379556.0,32,None,None,1,1.0,True
1676379557.0,32,None,None,1,1.0,True
1676379558.0,32,None,None,1,1.0,True
1676379559.0,32,None,None,1,1.0,True
1676379560.0,32,None,None,1,1.0,True
1676379561.0,32,None,None,1,1.0,True
1676379562.0,32,None,None,1,1.0,True
1676379563.0,32,None,None,1,1.0,True
1676379564.0,32,None,None,1,1.0,True
1676379565.0,32,None,None,1,1.0,True
1676379566.0,32,None,None,1,1.0,True
1676379567.0,32,None,None,1,1.0,True
1676379568.0,32,None,None,1,1.0,True
1676379569.0,32,None,None,1,1.0,True
1676379570.0,32,None,None,1,1.0,True
1676379571.0,32,None,None,1,1.0,True
1676379572.0,32,None,None,1,1.0,True
1676379573.0,32,None,None,1,1.0,True
1676379574.0,32,None,None,1,1.0,True
1676379575.0,32,None,None,1,1.0,True
1676379576.0,32,None,None,1,1.0,True
1676379577.0,32,None,None,1,1.0,True
1676379578.0,32,None,None,1,1.0,True
1676379579.0,32,None,None,1,1.0,True
1676379580.0,32,None,None,1,1.0,True
1676379581.0,32,None,None,1,1.0,True
1676379582.0,32,None,None,1,1.0,True
1676379583.0,32,None,None,1,1.0,True
1676379584.0,32,None,None,1,1.0,True
1676379585.0,32,None,None,1,1.0,True
1676379586.0,32,None,None,1,1.0,True
1676379587.0,32,None,None,1,1.0,True
1676379588.0,32,None,None,1,1.0,True
1676379589.0,32,None,None,1,1.0,True
1676379590.0,32,None,None,1,1.0,True
1676379591.0,32,None,None,1,1.0,True
1676379592.0,32,None,None,1,1.0,True
1676379593.0,32,None,None,1,1.0,True
1676379594.0,32,None,None,1,1.0,True
1676379595.0,32,None,None,1,1.0,True
1676379596.0,32,None,None,1,1.0,True
1676379597.0,32,None,None,1,1.0,True
1676379598.0,32,None,None,1,1.0,True
1676379599.0,32,None,None,1,1.0,True
1676379600.0,32,None,None,1,1.0,True
1676379601.0,32,None,None,1,1.0,True
1676379602.0,32,None,None,1,1.0,True
1676379603.0,32,None,None,1,1.0,True
1676379604.0,32,None,None,1,1.0,True
1676379605.0,32,None,None,1,1.0,True
1676379606.0,32,None,None,1,1.0,True
1676379607.0,32,None,None,1,1.0,True
1676379608.0,32,None,None,1,1.0,True
1676379609.0,32,None,None,1,1.0,True
1676379610.0,32,None,None,1,1.0,True
1676379611.0,32,None,None,1,1.0,True
1676379612.0,32,None,None,1,1.0,True
1676379613.0,32,None,None,1,1.0,True
1676379614.0,32,None,None,1,1.0,True
1676379615.0,32,None,None,1,1.0,True
1676379616.0,32,None,None,1,1.0,True
1676379617.0,32,None,None,1,1.0,True
1676379618.0,32,None,None,1,1.0,True
1676379619.0,32,None,None,1,1.0,True
1676379620.0,32,None,None,1,1.0,True
1676379621.0,32,None,None,1,1.0,True
1676379622.0,32,None,None,1,1.0,True
1676379623.0,32,None,None,1,1.0,True
1676379624.0,32,None,None,1,1.0,True
1676379625.0,32,None,None,1,1.0,True
1676379626.0,32,None,None,1,1.0,True
1676379627.0,32,None,None,1,1.0,True
1676379628.0,32,None,None,1,1.0,True
1676379629.0,32,None,None,1,1.0,True
1676379630.0,32,None,None,1,1.0,True
1676379631.0,32,None,None,1,1.0,True
1676379632.0,32,None,None,1,1.0,True
1676379633.0,32,None,None,1,1.0,True
1676379634.0,32,None,None,1,1.0,True
1676379635.0,32,None,None,1,1.0,True
1676379636.0,32,None,None,1,1.0,True
1676379637.0,32,None,None,1,1.0,True
1676379638.0,32,None,None,1,1.0,True
1676379639.0,32,None,None,1,1.0,True
1676379640.0,32,None,None,1,1.0,True
1676379641.0,32,None,None,1,1.0,True
1676379642.0,32,None,None,1,1.0,True
1676379643.0,32,None,None,1,1.0,True
1676379644.0,32,None,None,1,1.0,True
1676379645.0,32,None,None,1,1.0,True
1676379646.0,32,None,None,1,1.0,True
1676379647.0,32,None,None,1,1.0,True
1676379648.0,32,None,None,1,1.0,True
1676379649.0,32,None,None,1,1.0,True
1676379650.0,32,None,None,1,1.0,True
1676379651.0,32,None,None,1,1.0,True
1676379652.0,32,None,None,1,1.0,True
1676379653.0,32,None,None,1,1.0,True
1676379654.0,32,None,None,1,1.0,True
1676379655.0,32,None,None,1,1.0,True
1676379656.0,32,None,None,1,1.0,True
1676379657.0,32,None,None,1,1.0,True
1676379658.0,32,None,None,1,1.0,True
1676379659.0,32,None,None,1,1.0,True
1676379660.0,32,None,None,1,1.0,True
1676379661.0,32,None,None,1,1.0,True
1676379662.0,32,None,None,1,1.0,True
1676379663.0,32,None,None,1,1.0,True
1676379664.0,32,None,None,1,1.0,True
1676379665.0,32,None,None,1,1.0,True
1676379666.0,32,None,None,1,1.0,True
1676379667.0,32,None,None,1,1.0,True
1676379668.0,32,None,None,1,1.0,True
1676379669.0,32,None,None,1,1.0,True
1676379670.0,32,None,None,1,1.0,True
1676379671.0,32,None,None,1,1.0,True
1676379672.0,32,None,None,1,1.0,True
1676379673.0,32,None,None,1,1.0,True
1676379674.0,32,None,None,1,1.0,True
1676379675.0,32,None,None,1,1.0,True
1676379676.0,32,None,None,1,1.0,True
1676379677.0,32,None,None,1,1.0,True
1676379678.0,32,None,None,1,1.0,True
1676379679.0,32,None,None,1,1.0,True
1676379680.0,32,None,None,1,1.0,True
1676379681.0,32,None,None,1,1.0,True
1676379682.0,32,None,None,1,1.0,True
1676379683.0,32,None,None,1,1.0,True
1676379684.0,32,None,None,1,1.0,True
1676379685.0,32,None,None,1,1.0,True
