label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,6367,6368,1673444620.0,1673444818.0,199,198.0
jelly,6368,12159,5792,1673444819.0,1673444999.0,181,180.0
None,12160,12351,192,1673445000.0,1673445005.0,6,5.0
count,12352,14303,1952,1673445006.0,1673445066.0,61,60.0
None,14304,14591,288,1673445067.0,1673445075.0,9,8.0
good,14592,18463,3872,1673445076.0,1673445196.0,121,120.0
None,18464,18655,192,1673445197.0,1673445202.0,6,5.0
animal,18656,24447,5792,1673445203.0,1673445383.0,181,180.0
None,24448,24543,96,1673445384.0,1673445386.0,3,2.0
stress,24544,35775,11232,1673445387.0,1673445737.0,351,350.0
None,35776,36063,288,1673445738.0,1673445746.0,9,8.0
prepareSong,36064,37055,992,1673445747.0,1673445777.0,31,30.0
None,37056,46911,9856,1673445778.0,1673446085.0,308,307.0
arithmetic,46912,52767,5856,1673446086.0,1673446268.0,183,182.0
None,52768,53183,416,1673446269.0,1673446281.0,13,12.0
bad,53184,56927,3744,1673446282.0,1673446398.0,117,116.0
None,56928,57971,1044,1673446399.0,1673446431.0,33,32.0
