label,start_row,end_row,num_rows,start_time,end_time,unique_timestamps,duration_seconds_wall
None,0,17887,17888,1676641045.0,1676641603.0,559,558.0
jelly,17888,23679,5792,1676641604.0,1676641784.0,181,180.0
None,23680,23871,192,1676641785.0,1676641790.0,6,5.0
count,23872,25823,1952,1676641791.0,1676641851.0,61,60.0
None,25824,26239,416,1676641852.0,1676641864.0,13,12.0
good,26240,29791,3552,1676641865.0,1676641975.0,111,110.0
None,29792,30271,480,1676641976.0,1676641990.0,15,14.0
animal,30272,36063,5792,1676641991.0,1676642171.0,181,180.0
None,36064,36447,384,1676642172.0,1676642183.0,12,11.0
prepareSong,36448,37439,992,1676642184.0,1676642214.0,31,30.0
None,37440,40159,2720,1676642215.0,1676642299.0,85,84.0
stroop,40160,44351,4192,1676642300.0,1676642430.0,131,130.0
None,44352,45439,1088,1676642431.0,1676642464.0,34,33.0
arithmetic,45440,51231,5792,1676642465.0,1676642645.0,181,180.0
None,51232,51647,416,1676642646.0,1676642658.0,13,12.0
stress,51648,59711,8064,1676642659.0,1676642910.0,252,251.0
None,59712,60479,768,1676642911.0,1676642934.0,24,23.0
bad,60480,63711,3232,1676642935.0,1676643035.0,101,100.0
None,63712,64931,1220,1676643036.0,1676643074.0,39,38.0
